index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,69.529999,70.139999,68.989998,2302600,68.542641,-0.00245511778450404,36.762325604450446,0.0,0.0,0.0,-0.674266797524812,-0.13993696798327004,-0.30178547132027056,-0.058085657205679486,-0.06650224773603541,0.008143758125209288,-0.04118778629973207,-0.6532859822462815,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,67.010002,69.760002,67.0,3492200,68.612022,0.001011719243086164,33.82468796253306,0.06938099999999281,0.0,0.0,0.3745968636390129,0.5608376778298136,-0.29405091678177353,-0.03621434397645473,-0.06650224773603541,0.008143758125209288,0.03466763213951195,-0.7456131899877951,2,0.0010122312036385177,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,69.360001,72.410004,69.360001,2505900,71.49604000000001,0.04117429635964668,41.19856535439092,2.8840180000000117,2.9533990000000045,0.0,0.5635231503936018,-0.02017613619628289,0.027457774517129607,0.8510574949069899,0.6638617931365703,0.008143758125209288,0.9134366854667052,-0.5138591097350143,3,0.042033712401013515,0.043088491439949105,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
17,2019-07-25,72.43,72.43,70.970001,1710800,71.030235,-0.006536432085333713,46.989557127137004,-0.46580500000000313,2.4182130000000086,2.4875940000000014,-0.4723131110156287,-0.48855703808429807,-0.02446990275481742,-0.20492365404545063,0.5315123850212283,0.45130308413874726,-0.13048814902451267,-0.3318536462964572,4,-0.006515116081953673,0.03524474180341178,0.036292648834467894,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
18,2019-07-26,71.629997,72.040001,70.900002,1471300,71.030235,0.0,42.22411164899776,0.0,-0.46580500000000313,2.4182130000000086,-0.6807827775390858,-0.629642720391152,-0.02446990275481742,-0.058085657205679486,-0.18169400545609488,0.4389430136456756,0.01253091618875346,-0.481627147412764,5,0.0,-0.006515116081953673,0.03524474180341178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19,2019-07-29,71.709999,72.309998,71.360001,1219000,70.871666,-0.0022349110883589786,46.835561565312915,-0.15856899999999996,-0.15856899999999996,-0.6243740000000031,-0.8045629449728058,-0.778268681334865,-0.04214708496053721,-0.10807214150895125,-0.10571574228828792,-0.10308707818504792,-0.03636959872810054,-0.3366935829942057,1,-0.002232415534032795,-0.002232415534032795,-0.008732987169639089,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,2019-07-30,70.540001,71.029999,69.199997,1241800,70.336487,-0.007580037711815923,42.16985577826761,-0.5351789999999994,-0.6937479999999994,-0.6937479999999994,-0.23126810469476533,-0.7648375600129599,-0.1018085364149508,-0.22679276063031267,-0.2380634193309629,-0.11544590164372386,-0.15332254846479546,-0.48333235876239455,2,-0.007551381676282301,-0.009766939388557553,-0.009766939388557553,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
21,2019-07-31,70.940002,71.360001,69.410004,2056200,69.51389300000001,-0.011764050791161149,40.68006882749363,-0.8225939999999952,-1.3577729999999946,-1.5163419999999945,-0.15309523708701755,-0.28508733174280576,-0.19351084909480498,-0.31739600203326435,-0.4022742090821708,-0.26198918910252056,-0.24486999080580812,-0.5301549713719365,3,-0.011695124893001766,-0.01915819221746522,-0.02134783870558776,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
22,2019-08-01,70.040001,70.889999,67.790001,1766500,67.531746,-0.028928833446134415,35.50601299880371,-1.9821470000000119,-2.804741000000007,-3.3399200000000064,0.5960932784493487,-0.4557450443285913,-0.41447947270674135,-0.6829275866009449,-0.7601037456579468,-0.5868555448716374,-0.6204405066245812,-0.6927707142209578,4,-0.02851440071123641,-0.039876046126671165,-0.04712630855890994,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
23,2019-08-02,68.08000200000001,68.260002,66.33000200000001,2206300,66.61996500000001,-0.01359349103035052,35.204938610446106,-0.9117809999999906,-2.8939280000000025,-3.7165219999999977,-0.166122636841612,-0.19666578304026383,-0.5161243015743837,-0.3455108578723986,-0.7821593425188185,-0.653946351689529,-0.2848986837466359,-0.7022332010855388,5,-0.013501516753320588,-0.04163092980564334,-0.052839175775156316,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
