Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,97.220001,98.790001,94.110001,95.260002,95.209419,2029200
2019-07-02,95.169998,95.169998,92.379997,93.720001,93.670242,1011300
2019-07-03,94.129997,94.550003,92.989998,93.660004,93.610275,661700
2019-07-05,93.879997,93.900002,91.519997,92.820000,92.770714,901700
2019-07-08,92.320000,93.669998,91.839996,91.900002,91.851204,852200
2019-07-09,91.750000,91.750000,89.889999,90.070000,90.022179,1229600
2019-07-10,90.309998,90.459999,87.309998,87.470001,87.423561,1659600
2019-07-11,87.709999,88.480003,86.919998,88.239998,88.193146,1757200
2019-07-12,88.660004,90.459999,88.410004,89.190002,89.142647,1284700
2019-07-15,89.760002,91.580002,89.559998,90.480003,90.431961,1815000
2019-07-16,90.760002,92.900002,90.389999,92.500000,92.450890,1041600
2019-07-17,88.160004,90.139999,88.160004,89.570000,89.522438,2941400
2019-07-18,89.519997,89.730003,87.160004,87.870003,87.823349,1618600
2019-07-19,88.330002,89.599998,87.849998,88.250000,88.203140,1096500
2019-07-22,88.650002,89.459999,86.610001,86.680000,86.633980,866400
2019-07-23,87.190002,88.650002,86.599998,88.059998,88.013245,996800
2019-07-24,88.500000,90.279999,87.930000,89.209999,89.162636,925500
2019-07-25,89.360001,90.930000,89.139999,89.379997,89.332542,1068900
2019-07-26,89.580002,90.050003,88.040001,89.309998,89.262581,938100
2019-07-29,88.900002,89.519997,87.620003,89.080002,89.032707,971400
2019-07-30,88.900002,89.529999,87.059998,89.080002,89.032707,1481800
2019-07-31,88.970001,89.519997,87.309998,88.919998,88.872787,1417600
2019-08-01,88.470001,88.919998,80.800003,82.800003,82.756042,1807300
2019-08-02,82.629997,84.400002,80.489998,80.500000,80.457260,2198200
2019-08-05,78.919998,78.980003,75.599998,76.599998,76.559326,2211100
2019-08-06,76.989998,78.269997,76.169998,77.860001,77.818657,1418400
2019-08-07,77.300003,78.209999,76.419998,77.860001,77.818657,1386000
2019-08-08,78.370003,79.019997,77.779999,78.580002,78.538277,1352600
2019-08-09,78.059998,78.150002,74.610001,74.660004,74.620361,1104000
2019-08-12,74.019997,74.250000,71.470001,72.099998,72.061714,1318600
2019-08-13,71.730003,77.169998,71.500000,74.669998,74.630348,2110200
2019-08-14,72.000000,72.000000,68.599998,69.360001,69.323174,1876500
2019-08-15,69.550003,69.970001,67.410004,69.190002,69.153267,2416200
2019-08-16,69.589996,71.440002,69.199997,70.720001,70.682449,1361200
2019-08-19,72.250000,72.949997,71.910004,71.959999,71.921791,1135500
2019-08-20,71.400002,72.019997,70.769997,71.839996,71.801849,871800
2019-08-21,72.580002,72.750000,71.330002,71.989998,71.951775,730000
2019-08-22,72.000000,73.339996,71.739998,72.739998,72.701378,1322400
2019-08-23,71.559998,72.370003,68.760002,69.010002,68.973358,2124300
2019-08-26,69.879997,70.809998,69.120003,70.480003,70.442581,1136300
2019-08-27,71.080002,71.500000,69.629997,69.809998,69.772934,1113400
2019-08-28,69.309998,71.919998,69.000000,71.570000,71.531998,1450200
2019-08-29,77.570000,79.360001,73.410004,76.000000,76.000000,3998200
2019-08-30,76.500000,78.629997,75.730003,75.800003,75.800003,1878800
2019-09-03,75.550003,76.010002,74.080002,74.300003,74.300003,2436000
2019-09-04,79.059998,81.769997,78.550003,81.080002,81.080002,3310000
2019-09-05,82.519997,84.739998,82.519997,84.559998,84.559998,2163300
2019-09-06,84.980003,85.949997,84.000000,85.389999,85.389999,1916300
2019-09-09,85.730003,89.309998,85.500000,89.190002,89.190002,1972000
2019-09-10,88.830002,90.779999,88.610001,90.540001,90.540001,2017900
2019-09-11,90.370003,91.019997,87.540001,90.400002,90.400002,1459600
2019-09-12,89.790001,90.910004,87.709999,90.389999,90.389999,1405300
2019-09-13,91.059998,92.800003,90.389999,90.610001,90.610001,1030500
2019-09-16,89.360001,91.269997,88.750000,90.620003,90.620003,1221900
2019-09-17,90.309998,90.309998,87.410004,88.449997,88.449997,1378900
2019-09-18,87.800003,89.120003,87.260002,89.019997,89.019997,977000
2019-09-19,89.160004,89.160004,86.129997,86.739998,86.739998,1055200
2019-09-20,87.360001,88.750000,86.010002,86.110001,86.110001,1428500
2019-09-23,85.260002,87.720001,84.430000,87.000000,87.000000,1078600
2019-09-24,87.529999,87.529999,84.769997,85.750000,85.750000,845000
2019-09-25,85.959999,87.739998,85.599998,87.260002,87.260002,917100
2019-09-26,87.370003,87.620003,86.410004,86.779999,86.779999,917100
2019-09-27,87.099998,89.070000,86.879997,87.720001,87.720001,764500
2019-09-30,88.019997,88.680000,87.459999,88.230003,88.230003,733000
2019-10-01,88.699997,89.699997,85.660004,85.660004,85.660004,1580200
2019-10-02,84.589996,85.089996,82.639999,82.900002,82.900002,1213500
2019-10-03,82.879997,84.019997,81.120003,83.870003,83.870003,1222900
2019-10-04,83.930000,84.680000,82.779999,84.480003,84.480003,1359500
2019-10-07,84.269997,84.760002,83.519997,83.709999,83.709999,978500
2019-10-08,82.459999,82.760002,80.430000,80.809998,80.809998,1070500
2019-10-09,81.940002,83.250000,81.629997,82.760002,82.760002,913300
2019-10-10,83.010002,84.860001,82.570000,83.800003,83.800003,1124700
2019-10-11,85.220001,88.709999,85.220001,87.720001,87.720001,1194600
2019-10-14,86.919998,87.720001,85.279999,86.940002,86.940002,823200
2019-10-15,87.169998,88.669998,86.540001,87.559998,87.559998,583200
2019-10-16,87.430000,88.750000,87.360001,87.650002,87.650002,634100
2019-10-17,88.500000,88.989998,86.709999,87.379997,87.379997,939500
2019-10-18,86.070000,87.570000,85.519997,87.389999,87.389999,797600
2019-10-21,88.470001,90.330002,88.470001,89.349998,89.349998,888400
2019-10-22,89.480003,92.739998,88.970001,92.389999,92.389999,1141400
2019-10-23,92.290001,92.470001,90.709999,91.750000,91.750000,888600
2019-10-24,92.129997,92.419998,89.580002,90.839996,90.839996,654700
2019-10-25,89.019997,93.370003,89.019997,92.769997,92.769997,798400
2019-10-28,90.949997,93.220001,89.610001,89.669998,89.669998,1118500
2019-10-29,89.419998,89.610001,88.230003,88.419998,88.419998,867200
2019-10-30,88.589996,89.099998,87.440002,88.379997,88.379997,624600
2019-10-31,87.900002,88.300003,85.230003,87.160004,87.160004,906000
2019-11-01,88.089996,90.190002,88.089996,90.089996,90.089996,665800
2019-11-04,91.010002,93.449997,90.910004,93.379997,93.379997,891300
2019-11-05,93.660004,96.930000,93.419998,94.949997,94.949997,1254400
2019-11-06,94.580002,94.739998,92.349998,93.199997,93.199997,1022600
2019-11-07,96.949997,100.919998,96.720001,97.660004,97.660004,1486900
2019-11-08,97.470001,98.120003,95.430000,97.959999,97.959999,891100
2019-11-11,97.209999,97.760002,96.199997,96.720001,96.720001,602100
2019-11-12,97.099998,97.959999,96.080002,96.879997,96.879997,591600
2019-11-13,96.160004,96.949997,95.470001,96.730003,96.730003,609500
2019-11-14,97.169998,98.599998,96.889999,97.839996,97.839996,596900
2019-11-15,98.570000,99.949997,97.750000,99.919998,99.919998,745400
