index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,71.760002,73.230003,71.599998,972300,72.800003,0.0209599172546809,60.479166349364526,0.0,0.0,0.0,-0.6890571380148058,-0.9029411057403267,-0.7408748325682595,-0.677088500554741,-0.6519996174401066,-0.6164180280129071,-0.43201808119218554,-0.13292959078704136,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,73.190002,73.900002,72.870003,738100,73.889999,0.014861490855494494,67.89630671481652,1.0899959999999993,0.0,0.0,-0.919385781072124,-0.9592621984945772,-0.6801339002544973,-0.565351351578539,-0.6519996174401066,-0.6164180280129071,-0.4854975850058685,0.12534926132321633,2,0.014972471910475049,1.0,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,74.230003,75.800003,74.0,1360100,75.33000200000001,0.019301001120525314,75.37748365971109,1.4400030000000044,2.5299990000000037,0.0,-0.6237987761609912,-0.8096818411370033,-0.5998885371938849,-0.5294716012843048,-0.4495997541120681,-0.6164180280129071,-0.4465657703690181,0.38585798821224104,3,0.019488469610075436,0.03475273208436548,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
17,2019-07-25,75.0,75.135002,74.07,877100,74.730003,-0.007996830300732281,73.72036660352438,-0.599999000000011,0.8400039999999933,1.9299999999999926,-0.9059489262857783,-0.9258350768342833,-0.6333239797526886,-0.7385953112664991,-0.5847993162561915,-0.47238819338938176,-0.6859512091755242,0.32815403898164686,4,-0.007964940715121858,0.011368304389880873,0.02651098791850314,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
18,2019-07-26,75.199997,75.199997,74.239998,859500,74.91999799999999,0.0025391927940276284,79.24092969298721,0.18999499999999614,-0.4100040000000149,1.0299989999999895,-0.9462571873814178,-0.9300675756919896,-0.6227363505917074,-0.65761182392498,-0.6847999282560208,-0.5395524396023395,-0.5935566715694894,0.520390484228133,5,0.0025424192743575312,-0.005442771659557567,0.013939626660436001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19,2019-07-29,75.139999,75.260002,74.114998,911700,74.68,-0.0032085322072238714,72.92444443974036,-0.23999799999998572,-0.050002999999989584,-0.6500020000000006,-0.8752379798921253,-0.9175143688526562,-0.6361104384538985,-0.7016910608210071,-0.6559998563200389,-0.6649256345232497,-0.6439607366518258,0.3004385242815655,1,-0.0032033903684832686,-0.0006691154555418603,-0.008628726705728756,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,2019-07-30,74.16999799999999,75.550003,73.050003,844000,75.489998,0.010787851984435926,72.85458647258122,0.8099979999999931,0.5700000000000074,0.7599950000000035,-0.35508586469978176,-0.9337950604814469,-0.590972627221305,-0.5940543727263591,-0.6063996302081025,-0.5597019895855977,-0.5212209292392936,0.2980059377752271,2,0.010846250669523206,0.007608115526111032,0.010169877820023687,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2019-07-31,75.839996,75.839996,73.099998,1722800,73.290001,-0.029575983075772826,67.32010484747047,-2.199996999999996,-1.389999000000003,-1.6299969999999888,-0.2629560965366786,-0.7224586970637039,-0.7135692870874699,-0.902613541505531,-0.7631995063041379,-0.7380595815604936,-0.8751873018309654,0.10528482279983198,3,-0.029142893870523035,-0.018612734333154832,-0.021756500847744137,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
22,2019-08-01,73.0,75.470001,70.639999,2818900,71.339996,-0.026967063720967334,54.95017424925822,-1.9500050000000044,-4.150002000000001,-3.3400040000000075,0.5393488559210815,-0.45886540172666723,-0.8222349351416813,-0.8769864810880085,-0.9839996844800878,-0.8656720299620866,-0.8523086601204537,-0.32545955012199834,4,-0.026606699050256588,-0.05497419671411305,-0.04472420996250679,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
23,2019-08-02,70.91999799999999,72.0,68.220001,2646400,70.889999,-0.006327758100653558,44.19797088484656,-0.4499969999999962,-2.4000020000000006,-4.599998999999997,0.13627660965002186,-0.5003487001899816,-0.8473113916776649,-0.7232183779376338,-0.8439997236800768,-0.9597014970483394,-0.671314457455223,-0.6998716019083555,5,-0.006307780000436167,-0.03274664984654592,-0.06093521157597589,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
