index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,17.85,18.33,17.76,13069100,17.453703,0.02493899753944252,42.15316056666329,0.0,0.0,0.0,-0.1599991599991648,-0.41288666446774036,0.5360772989483413,0.11382955511918014,0.09398818201308634,0.19348615320165719,0.4011886193820723,-0.10907336160153946,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,18.32,18.530001000000002,18.17,17133000,17.453703,0.0,49.63051208061545,0.0,0.0,0.0,-0.5799975799975785,-0.12148829071718459,0.5360772989483413,0.11382955511918014,0.09398818201308634,0.19348615320165719,0.010827080949137535,0.048963937592521045,2,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,18.209999,18.379998999999998,18.129998999999998,13383300,17.472807,0.0010939542430779073,48.840188685702614,0.019103999999998678,0.019103999999998678,0.0,-0.7999997999998001,-0.3903572299264316,0.5416660206364954,0.13509620308401926,0.10890925940172494,0.19348615320165719,0.027950369911644662,0.032260085354351986,3,0.0010945528292763246,0.0010945528292763246,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2018-07-26,18.32,18.52,18.219998999999998,12116100,17.56834,0.005452631826942929,55.15238711835819,0.09553299999999965,0.11463699999999832,0.11463699999999832,-0.6999976999976963,-0.4812206909409015,0.5696134321228037,0.2201772665945314,0.18352479992564164,0.2600014969825351,0.09617524881785314,0.16567133269406775,4,0.005467524479609924,0.006568061803274544,0.006568061803274544,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,2018-07-27,18.42,18.610001,18.34,10344500,17.730743,0.009201607071838223,54.92454320133556,0.16240300000000119,0.25793600000000083,0.2770399999999995,-0.7599977599977588,-0.6082517101432648,0.6171231247694404,0.2946172136950823,0.2954477201891837,0.3542319058038246,0.1548566670195981,0.1608557456219788,5,0.009244072006803215,0.014762138676401613,0.01587284944633236,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2018-07-30,18.57,18.9,18.57,13781200,17.979128,0.013911503954465249,55.4341598353768,0.24838499999999897,0.41078800000000015,0.5063209999999998,-0.639999639999643,-0.3618261605311841,0.6897861606002724,0.39033271439194567,0.41483196019171376,0.487266654946106,0.2285790606344566,0.17162673001638207,1,0.01400871920595764,0.023382288821823815,0.028977656537956368,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
20,2018-07-31,18.889999,18.93,18.549999,12467000,17.778513,-0.011220936243451262,53.819318805100785,-0.2006149999999991,0.04776999999999987,0.21017300000000105,-0.5399975399975393,-0.4560597151912349,0.6310978544094707,-0.10949585220213892,0.1312986859313921,0.31543394796651264,-0.16481036910168853,0.13749631437705,2,-0.011158216349535923,0.002694190536741741,0.011963167834866645,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
21,2018-08-01,18.690001000000002,19.139999,18.66,14581000,17.988684,0.011752300243287711,60.4642837075803,0.210170999999999,0.009555999999999898,0.25794099999999887,-0.34000134000133997,-0.30447720526021427,0.6925816916122072,0.3477927392386574,0.10145184488608879,0.3431501734584993,0.19478178866503137,0.27794073570292754,3,0.011821629851720389,0.0005315051986948365,0.014547670111737498,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2018-08-02,18.719998999999998,19.190001000000002,18.67,11759500,18.217958,0.012664917371981733,69.44613918801143,0.2292740000000002,0.4394449999999992,0.2388300000000001,-0.2599972599972573,-0.5067903801752449,0.7596539579611346,0.36905827399956487,0.43721435731934316,0.3320614784037064,0.209066670236306,0.46777642541606834,4,0.012745457088467405,0.02471775901617864,0.013283736563864505,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
23,2018-08-03,19.059998999999998,19.27,18.99,10476500,18.284832,0.0036640527925043006,69.90789649619116,0.0668740000000021,0.2961480000000023,0.5063190000000013,-0.7399997399997377,-0.5987867662875909,0.7792174092893198,0.18827395503546968,0.3252929991451468,0.4872654944945287,0.06817923725451251,0.47753588071674247,5,0.0036707736399437356,0.01646301641632052,0.028479265954357447,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
24,2018-08-06,19.120001000000002,19.26,18.93,10461900,18.265726,-0.0010454560907226153,64.11912130576984,-0.019106000000000734,0.047768000000001365,0.27704200000000156,-0.6399996399996359,-0.5998336464413245,0.773628102517236,0.0925606807464697,0.13129712384205192,0.35423306625540385,-0.005537083139379579,0.35518742685192906,1,-0.001044909791897499,0.00262202822072602,0.01540090425736544,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,2018-08-07,19.209999,19.440001000000002,19.15,11555600,18.447237,0.009888195564898644,64.34642615768121,0.18151100000000042,0.1624049999999997,0.2292790000000018,-0.7199977199977124,-0.5214108502674564,0.8267276870198845,0.31588831447566007,0.22083374175460718,0.3265197418923613,0.1656036002111801,0.3599916205323719,2,0.009937245308508428,0.008881951991683582,0.012585329266869635,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
26,2018-08-08,19.360001,19.440001000000002,19.190001000000002,8902400,18.504557000000002,0.003102422901337051,70.69790388906722,0.057320000000000704,0.23883100000000113,0.2197250000000004,-0.7999997999998001,-0.7116562217665027,0.843496192420063,0.17763840464517883,0.28052586175587363,0.3209762647036474,0.0593882380173046,0.4942330541050086,3,0.003107240395946596,0.013075363114502053,0.012016790747653595,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
27,2018-08-09,19.32,19.440001000000002,19.219998999999998,7004500,18.418575,-0.004657359804665376,74.03507296860742,-0.08598200000000134,-0.02866200000000063,0.1528489999999998,-0.8599958599958513,-0.8477434713398632,0.818342849235866,0.0181140544223128,0.07160187966210232,0.2821730848342326,-0.062072967880392474,0.5647656734823885,4,-0.00464653112203666,-0.0015537286152934788,0.008368076910821929,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,2018-08-10,19.059998999999998,19.219998999999998,18.969998999999998,8846900,18.275276,-0.007810558150104419,67.94081476743014,-0.14329899999999895,-0.2292810000000003,-0.1719609999999996,-0.7999997999998001,-0.7156358004330928,0.7764218782773851,-0.04569145549187892,-0.08509052112472182,0.09370994628849921,-0.11142889548586447,0.4359606942182461,5,-0.0077801349995859585,-0.012390515482213395,-0.009321775396499735,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
