Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,164.240005,167.880005,164.000000,167.690002,162.098145,1145100
2018-07-03,169.470001,170.610001,166.520004,167.119995,161.547119,2444400
2018-07-05,169.050003,169.729996,167.210007,169.619995,163.963760,1558600
2018-07-06,169.220001,170.169998,168.600006,169.240005,163.596436,1236300
2018-07-09,169.970001,171.520004,169.779999,170.899994,165.201080,1646900
2018-07-10,171.559998,171.929993,170.720001,171.399994,165.684372,1428500
2018-07-11,169.440002,170.179993,167.220001,167.250000,161.672806,868600
2018-07-12,168.789993,169.229996,166.899994,168.830002,163.200134,990400
2018-07-13,169.110001,171.539993,169.110001,171.070007,165.365433,680100
2018-07-16,168.759995,169.539993,166.690002,167.630005,162.040146,1192000
2018-07-17,166.919998,169.460007,166.919998,169.300003,163.654434,1031700
2018-07-18,169.520004,171.169998,169.300003,170.410004,164.727432,657200
2018-07-19,169.539993,172.639999,169.539993,172.070007,166.332077,868400
2018-07-20,170.690002,172.110001,169.830002,171.300003,165.587753,1034000
2018-07-23,170.699997,171.199997,167.399994,167.929993,162.330109,1427100
2018-07-24,169.259995,171.399994,168.210007,170.470001,164.785416,1890800
2018-07-25,175.500000,183.699997,174.679993,183.460007,177.342255,3142900
2018-07-26,183.979996,186.289993,183.729996,184.070007,177.931931,1527000
2018-07-27,184.300003,185.729996,182.360001,184.059998,177.922241,1013800
2018-07-30,184.899994,186.360001,182.369995,182.750000,176.655930,800900
2018-07-31,183.850006,188.360001,183.229996,187.559998,181.305511,1383100
2018-08-01,187.080002,187.089996,183.339996,184.389999,178.241241,1093300
2018-08-02,182.630005,183.160004,178.309998,180.330002,174.316620,2549400
2018-08-03,181.399994,181.520004,178.000000,179.479996,173.494965,1692100
2018-08-06,179.070007,180.500000,178.460007,178.899994,172.934296,1118700
2018-08-07,180.050003,182.029999,179.580002,181.389999,175.341293,1386100
2018-08-08,181.259995,181.600006,177.050003,177.199997,171.291000,696600
2018-08-09,177.289993,178.410004,175.179993,175.910004,170.044022,806600
2018-08-10,174.470001,174.929993,172.529999,173.259995,168.362915,959600
2018-08-13,173.100006,173.389999,171.160004,171.910004,167.051071,910200
2018-08-14,172.000000,173.600006,171.190002,172.380005,167.507782,807400
2018-08-15,171.639999,172.320007,170.270004,171.690002,166.837280,793500
2018-08-16,172.389999,174.399994,172.100006,173.320007,168.421219,885500
2018-08-17,173.440002,174.389999,172.529999,173.630005,168.722458,887100
2018-08-20,173.899994,175.179993,173.580002,173.779999,168.868225,628700
2018-08-21,173.929993,174.679993,172.729996,173.789993,168.877930,809400
2018-08-22,172.580002,173.589996,170.949997,171.339996,166.497192,887900
2018-08-23,171.149994,173.339996,170.320007,172.800003,167.915939,1115300
2018-08-24,173.199997,175.429993,172.470001,175.039993,170.092590,896600
2018-08-27,175.839996,177.789993,175.350006,176.910004,171.909760,579700
2018-08-28,177.710007,179.770004,176.990005,177.490005,172.473373,646800
2018-08-29,177.300003,178.929993,177.139999,178.550003,173.503403,614600
2018-08-30,178.130005,179.369995,177.729996,178.179993,173.143845,625400
2018-08-31,177.660004,181.360001,177.660004,180.960007,175.845291,1227900
2018-09-04,180.330002,182.050003,179.990005,181.750000,176.612961,1224300
2018-09-05,181.000000,182.779999,180.500000,181.960007,176.817032,2063000
2018-09-06,182.270004,183.000000,181.210007,182.089996,176.943329,1114400
2018-09-07,181.860001,184.190002,181.699997,183.500000,178.313492,1151000
2018-09-10,184.039993,185.539993,184.039993,184.690002,179.469849,1291100
2018-09-11,184.080002,185.300003,183.509995,184.490005,179.275513,1062400
2018-09-12,184.550003,186.470001,184.190002,185.350006,180.111206,1194100
2018-09-13,186.479996,188.479996,186.440002,188.369995,183.045837,1066400
2018-09-14,188.789993,191.910004,188.789993,191.600006,186.184570,1314900
2018-09-17,191.699997,191.940002,190.929993,191.449997,186.038788,1100400
2018-09-18,191.750000,194.509995,190.509995,194.070007,188.584732,940600
2018-09-19,194.250000,195.460007,193.850006,194.630005,189.128906,659100
