Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,40.880001,41.180000,40.419998,40.759998,40.415497,21507800
2019-07-02,40.459999,40.740002,40.130001,40.189999,39.850311,6426900
2019-07-03,40.410000,40.590000,40.150002,40.450001,40.108116,3019500
2019-07-05,40.820000,41.480000,40.730000,40.860001,40.514652,6522300
2019-07-08,40.380001,40.830002,39.910000,39.990002,39.652008,7209400
2019-07-09,39.750000,40.310001,39.610001,40.270000,39.929642,7138800
2019-07-10,39.889999,40.419998,39.299999,39.660000,39.324795,8562400
2019-07-11,39.849998,40.540001,39.660000,40.459999,40.118031,6566100
2019-07-12,40.250000,40.369999,39.900002,40.130001,39.790821,9983700
2019-07-15,40.200001,42.130001,39.869999,40.299999,39.959385,8655000
2019-07-16,41.000000,42.139999,40.900002,41.630001,41.278145,16155400
2019-07-17,41.459999,41.610001,40.810001,41.209999,40.861694,7673800
2019-07-18,41.310001,42.090000,41.150002,41.480000,41.129414,10955600
2019-07-19,41.750000,43.040001,41.630001,42.720001,42.358932,12138900
2019-07-22,42.759998,43.450001,42.560001,43.160000,42.795212,8774200
2019-07-23,43.259998,43.750000,43.220001,43.529999,43.162083,10277000
2019-07-24,43.490002,44.279999,43.459999,44.279999,43.905743,11347300
2019-07-25,44.450001,44.549999,43.759998,44.070000,43.697521,8571800
2019-07-26,44.080002,44.240002,43.709999,44.049999,43.677689,12260400
2019-07-29,43.900002,44.090000,43.509998,43.709999,43.340565,7837500
2019-07-30,43.310001,43.389999,42.799999,43.020000,42.656399,6223400
2019-07-31,43.169998,43.490002,42.799999,43.220001,42.854706,9018400
2019-08-01,42.930000,43.020000,41.119999,41.290001,40.941017,21228900
2019-08-02,41.320000,41.549999,40.330002,40.750000,40.405582,8811900
2019-08-05,39.820000,39.900002,38.450001,38.840000,38.511726,13878300
2019-08-06,39.360001,39.570000,38.730000,39.410000,39.076908,9930000
2019-08-07,38.380001,38.430000,37.099998,37.580002,37.262375,21892100
2019-08-08,37.689999,37.799999,37.160000,37.450001,37.302219,14452100
2019-08-09,37.189999,37.340000,36.490002,36.869999,36.724506,13647600
2019-08-12,36.349998,36.529999,36.009998,36.410000,36.266323,8733200
2019-08-13,36.330002,38.020000,36.279999,37.680000,37.531311,11376700
2019-08-14,36.520000,37.130001,36.090000,36.590000,36.445610,13862200
2019-08-15,36.849998,37.040001,36.099998,36.560001,36.415730,7587100
2019-08-16,36.849998,37.529999,36.779999,37.139999,36.993439,6311800
2019-08-19,37.849998,38.090000,37.459999,37.700001,37.551231,5361700
2019-08-20,37.400002,37.590000,37.009998,37.320000,37.172729,6790500
2019-08-21,37.869999,37.900002,37.349998,37.610001,37.461586,4950400
2019-08-22,37.990002,38.160000,37.619999,37.869999,37.720558,6901600
2019-08-23,37.549999,38.029999,36.349998,36.580002,36.435654,8736700
2019-08-26,37.000000,37.150002,36.520000,36.669998,36.525295,5920500
2019-08-27,36.840000,37.099998,36.110001,36.119999,35.977467,9081800
2019-08-28,35.869999,36.820000,35.849998,36.730000,36.585060,10094400
2019-08-29,37.090000,37.950001,37.060001,37.759998,37.610992,7658200
2019-08-30,38.180000,38.419998,37.910000,38.270000,38.118980,6896900
2019-09-03,38.009998,38.110001,37.299999,37.959999,37.810204,7749800
2019-09-04,38.529999,38.730000,38.330002,38.669998,38.517403,6904000
2019-09-05,39.490002,40.369999,39.320000,39.619999,39.463654,9395000
2019-09-06,39.590000,40.099998,39.439999,39.900002,39.742550,7047900
2019-09-09,40.279999,41.320000,40.279999,41.099998,40.937813,7962500
2019-09-10,41.369999,41.950001,41.270000,41.950001,41.784462,8701400
2019-09-11,42.000000,42.779999,41.509998,42.759998,42.591263,6799700
2019-09-12,42.160000,43.160000,41.680000,43.070000,42.900040,8829400
2019-09-13,43.599998,44.000000,43.490002,43.619999,43.447868,6777600
2019-09-16,43.080002,43.740002,42.990002,43.599998,43.427948,6585000
2019-09-17,43.130001,43.220001,42.650002,43.110001,42.939884,6244300
2019-09-18,42.669998,43.360001,42.230000,43.230000,43.059410,6663000
2019-09-19,43.139999,43.330002,42.740002,42.919998,42.750629,4935700
2019-09-20,42.990002,43.400002,42.750000,42.779999,42.611183,10962100
2019-09-23,42.250000,42.820000,41.939999,42.580002,42.411976,4463300
2019-09-24,42.779999,42.950001,41.570000,41.790001,41.625092,5693600
2019-09-25,41.820000,42.340000,41.680000,41.799999,41.635052,7229200
2019-09-26,41.689999,41.799999,40.639999,40.889999,40.728642,8429200
2019-09-27,41.279999,41.610001,41.150002,41.410000,41.246590,6272300
2019-09-30,41.740002,41.930000,41.299999,41.830002,41.664936,4931400
2019-10-01,39.799999,39.880001,36.919998,37.759998,37.610992,35680100
2019-10-02,37.209999,37.360001,36.410000,36.509998,36.365925,20944000
2019-10-03,36.139999,36.430000,34.919998,35.099998,34.961491,24552800
2019-10-04,35.099998,35.790001,35.080002,35.669998,35.529240,14326700
2019-10-07,35.869999,36.150002,35.439999,35.450001,35.310112,10249300
2019-10-08,35.000000,35.419998,34.580002,35.230000,35.090977,13000100
2019-10-09,35.590000,36.060001,35.490002,35.669998,35.529240,14228200
2019-10-10,36.200001,36.580002,35.990002,36.139999,35.997387,13028000
2019-10-11,36.990002,37.709999,36.820000,37.279999,37.132889,11315900
2019-10-14,37.029999,37.830002,37.029999,37.720001,37.571152,9452500
2019-10-15,38.970001,40.230000,38.270000,39.740002,39.583183,12800400
2019-10-16,38.680000,39.570000,38.669998,39.020000,38.866024,13056700
2019-10-17,39.560001,39.730000,39.200001,39.450001,39.294327,6928300
2019-10-18,39.430000,40.049999,39.430000,39.939999,39.782391,7582800
2019-10-21,40.529999,41.009998,40.230000,40.900002,40.738605,7654700
2019-10-22,40.889999,41.439999,40.639999,40.919998,40.758522,7142600
2019-10-23,40.770000,41.540001,40.650002,41.369999,41.206749,5969800
2019-10-24,41.419998,41.480000,40.580002,40.990002,40.828251,6359100
2019-10-25,40.750000,41.259998,40.610001,40.980000,40.818287,3928100
2019-10-28,41.180000,41.770000,41.049999,41.480000,41.316315,5534500
2019-10-29,41.180000,41.599998,40.869999,40.959999,40.798367,5708300
2019-10-30,40.750000,41.660000,40.450001,41.299999,41.137024,5284700
2019-10-31,41.049999,41.299999,40.009998,40.709999,40.549351,7119700
2019-11-01,41.209999,42.020000,41.189999,41.779999,41.615131,6238700
2019-11-04,42.259998,43.320000,42.099998,43.220001,43.049450,8368800
2019-11-05,43.250000,43.700001,42.669998,43.419998,43.248657,8986000
2019-11-06,43.279999,43.560001,42.970001,43.080002,42.910004,4888400
2019-11-07,43.529999,43.849998,43.290001,43.500000,43.500000,5835000
2019-11-08,43.470001,43.779999,43.340000,43.540001,43.540001,4274200
2019-11-11,43.110001,43.540001,43.060001,43.230000,43.230000,3455200
2019-11-12,43.340000,43.900002,43.119999,43.480000,43.480000,3887100
2019-11-13,43.009998,43.009998,42.410000,42.810001,42.810001,4443900
2019-11-14,42.700001,43.410000,42.439999,43.380001,43.380001,5358000
2019-11-15,43.779999,44.439999,43.630001,44.349998,44.349998,7064400
