Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,43.250000,43.639999,42.799999,43.610001,43.433800,1032100
2019-07-02,43.799999,44.270000,43.709999,43.980000,43.802303,1096900
2019-07-03,44.080002,44.369999,43.820000,44.320000,44.140930,670400
2019-07-05,44.080002,44.349998,43.750000,44.330002,44.150890,679400
2019-07-08,44.290001,44.570000,43.939999,44.009998,43.832180,883600
2019-07-09,43.880001,43.970001,43.139999,43.320000,43.144970,934300
2019-07-10,43.400002,43.549999,42.759998,42.779999,42.607151,1033900
2019-07-11,42.709999,43.330002,42.599998,43.220001,43.045376,890000
2019-07-12,43.270000,43.630001,42.930000,43.549999,43.374039,867300
2019-07-15,42.810001,42.939999,42.419998,42.639999,42.467716,1137200
2019-07-16,42.770000,43.919998,42.740002,43.630001,43.453716,1233700
2019-07-17,43.730000,43.730000,42.939999,42.950001,42.776466,620400
2019-07-18,42.750000,43.330002,42.410000,43.310001,43.135010,617900
2019-07-19,43.430000,43.529999,43.080002,43.180000,43.005535,737000
2019-07-22,43.230000,43.310001,42.680000,42.700001,42.527473,832900
2019-07-23,42.830002,43.509998,42.830002,43.360001,43.184807,1010800
2019-07-24,43.340000,43.970001,43.070000,43.860001,43.682789,747900
2019-07-25,43.849998,44.160000,43.580002,43.880001,43.702709,748600
2019-07-26,43.820000,44.099998,43.459999,44.049999,43.872017,732000
2019-07-29,44.020000,44.189999,43.810001,44.020000,43.842140,985600
2019-07-30,43.820000,43.820000,42.150002,42.549999,42.378078,1678800
2019-07-31,42.419998,42.570000,41.320000,41.790001,41.621151,1387100
2019-08-01,41.730000,41.930000,40.959999,41.150002,40.983738,1432900
2019-08-02,42.000000,44.650002,41.939999,44.330002,44.150890,3222700
2019-08-05,43.770000,44.680000,43.369999,43.840000,43.662868,2217200
2019-08-06,44.040001,44.830002,43.520000,44.330002,44.150890,1627300
2019-08-07,44.040001,45.220001,43.540001,45.110001,44.927738,1505300
2019-08-08,45.119999,45.860001,45.110001,45.310001,45.126930,1162300
2019-08-09,45.290001,45.490002,44.669998,44.930000,44.748463,939300
2019-08-12,44.849998,45.270000,44.540001,44.660000,44.479553,802500
2019-08-13,44.439999,45.349998,44.349998,44.470001,44.290325,914500
2019-08-14,44.000000,44.209999,42.910000,43.009998,42.836220,1389400
2019-08-15,43.000000,43.270000,40.590000,41.990002,41.820343,2951900
2019-08-16,42.240002,42.610001,41.860001,42.380001,42.208767,1013400
2019-08-19,42.709999,42.959999,42.520000,42.730000,42.557354,1015500
2019-08-20,42.430000,42.919998,42.250000,42.279999,42.109169,1077400
2019-08-21,42.439999,42.820000,42.160000,42.200001,42.029495,731300
2019-08-22,42.139999,42.369999,41.400002,41.689999,41.521553,1435700
2019-08-23,41.549999,41.639999,40.240002,40.430000,40.266647,1656700
2019-08-26,40.450001,40.930000,40.389999,40.669998,40.505672,989600
2019-08-27,40.840000,40.889999,39.639999,39.910000,39.748745,1210500
2019-08-28,39.689999,40.070000,39.360001,39.849998,39.688988,1558800
2019-08-29,40.259998,40.400002,39.570000,39.980000,39.818462,1279400
2019-08-30,40.209999,40.250000,39.720001,39.820000,39.659111,2216400
2019-09-03,39.740002,39.770000,38.980000,39.340000,39.181049,1616500
2019-09-04,39.709999,39.889999,39.480000,39.599998,39.439999,1777000
2019-09-05,39.799999,39.980000,39.250000,39.320000,39.320000,1553800
2019-09-06,39.320000,39.799999,39.290001,39.709999,39.709999,2562400
2019-09-09,39.919998,40.349998,39.750000,40.240002,40.240002,1911200
2019-09-10,40.349998,42.630001,40.330002,42.419998,42.419998,2182900
2019-09-11,42.400002,42.400002,41.189999,41.759998,41.759998,1439200
2019-09-12,41.910000,42.040001,41.259998,41.310001,41.310001,839800
2019-09-13,41.549999,42.810001,41.400002,42.400002,42.400002,1306800
2019-09-16,42.029999,42.029999,40.080002,40.330002,40.330002,1927500
2019-09-17,40.310001,42.009998,40.029999,42.000000,42.000000,1694100
2019-09-18,42.130001,42.349998,41.419998,41.590000,41.590000,1301200
2019-09-19,41.450001,41.610001,41.200001,41.310001,41.310001,1341000
2019-09-20,41.459999,41.590000,41.060001,41.259998,41.259998,1484100
2019-09-23,40.869999,41.660000,40.630001,41.400002,41.400002,578900
2019-09-24,41.580002,41.660000,40.910000,41.020000,41.020000,909200
2019-09-25,41.130001,41.490002,40.889999,41.139999,41.139999,439800
