index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,55.400002,55.610001000000004,54.869999,4623300,54.33773000000001,0.0037922679148797637,43.783910618987555,0.0,0.0,0.0,-0.47126460562863126,-0.5641679034471172,-0.9537585009607525,-0.07747745454314481,-0.0716655754701353,-0.23665975650261173,0.10232897442418848,-0.561192205670914,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,55.5,55.619999,55.009997999999996,3023300,54.278965,-0.0010820621219196987,43.8902034535204,-0.05876500000000817,0.0,0.0,-0.6206913000424732,-0.8628620499752644,-0.968361485048808,-0.11487713760207674,-0.0716655754701353,-0.23665975650261173,-0.08082011427493255,-0.5566225271767549,2,-0.0010814769038016156,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,55.459998999999996,55.669998,55.099998,3613900,54.494438,0.003961874427090896,44.91525869805044,0.2154730000000029,0.15670799999999474,0.0,-0.6666695402348459,-0.752606573138062,-0.914816878728633,0.059655565243398684,0.02002301751823654,-0.23665975650261173,0.10870180472381705,-0.512553960120087,3,0.003969733026412772,0.0028839629480288324,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2019-07-25,55.540001000000004,55.810001,55.25,3280900,54.220203000000005,-0.005045053345943701,51.13939294999261,-0.27423499999999734,-0.05876199999999443,-0.1175270000000026,-0.6781626634988522,-0.8147722923842327,-0.9829637236429036,-0.2520082481050383,-0.10604675001886527,-0.30232186540348377,-0.22972636923160145,-0.24496967223405042,4,-0.00503234843893605,-0.0010825924923217388,-0.0021628985973466794,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18,2019-07-26,55.34,55.830002,55.200001,2288700,54.592381,0.006840742819996464,50.62858648188145,0.3721779999999981,0.09794300000000078,0.3134160000000037,-0.5977027546599282,-1.0,-0.8904782405845655,0.15938699268743736,-0.014359912306413751,-0.0615548399874663,0.21687300336336668,-0.2669299609239122,5,0.00686419414549219,0.0017973026898635191,0.005774170528122703,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2019-07-29,55.950001,56.200001,55.650002,3329300,54.954762,0.006616006805954159,50.34572638422588,0.3623809999999992,0.7345589999999973,0.46032399999999996,-0.6896592350446654,-0.8057367944517563,-0.8004272922851925,0.15315190896535338,0.35811899951612863,0.02052237711506205,0.208428725717213,-0.2790905144625704,1,0.006637940924393812,0.013547699185117348,0.0084471740033359,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2019-07-30,56.110001000000004,56.200001,55.02,6918500,54.151646,-0.014721967665099988,40.772980678273385,-0.8031160000000028,-0.44073500000000365,-0.06855700000000553,0.03448224336018435,-0.13569115025249,-1.0,-0.5886028499239515,-0.32953608642510734,-0.27496242057059056,-0.5933287567582106,-0.6906363197353471,2,-0.01461412934515125,-0.008073196148012003,-0.0012644179882544064,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
21,2019-07-31,55.75,56.639998999999996,55.150002,7190500,55.042908,0.016324656501467735,50.733392489198174,0.8912619999999976,0.08814599999999473,0.4505269999999939,0.3908000990806255,-0.08491314534270478,-0.7785231889000919,0.489746510784262,-0.020092058371117945,0.015048812054248573,0.5732235448632407,-0.2624242032235098,3,0.016458631746853965,0.0016039738285099792,0.008252561836421713,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2019-08-01,56.25,57.369999,55.889998999999996,6143400,55.806847,0.013783541420947246,59.595673799396984,0.7639390000000006,1.6552009999999981,0.8520849999999953,0.37930927467116793,-0.28038979586121915,-0.5886858867433169,0.4087146066557567,0.8967792442132949,0.23939849447629524,0.477743159299831,0.11857773816220307,4,0.013878972382781822,0.03056603302510875,0.015505207719760397,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
23,2019-08-02,57.279999,57.75,56.790001000000004,4389100,56.179024,0.00664688084200247,66.60217026298514,0.37217700000000065,1.1361160000000012,2.027377999999999,-0.21839405470240125,-0.6078892591451747,-0.49620065218296183,0.15938635625958125,0.5930667771320335,0.8960324335407751,0.2095887931570503,0.4197968781896293,5,0.006669020380241168,0.020640551912700564,0.037438898902537494,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
