index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,64.269997,66.120003,64.269997,3210100,63.633064000000005,-0.014186978088571606,44.17696828620793,0.0,0.0,0.0,-0.4991403946585964,-0.5752428260965983,-0.5609851391795306,0.3025608673167608,0.2435102945872536,0.2129480152088008,0.031843692730332024,-0.2411818161661159,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,65.43,65.839996,64.099998,3399500,63.036728000000004,-0.009415668822842784,43.65167071540363,-0.5963360000000009,0.0,0.0,-0.5368789816674129,-0.5332416729498382,-0.6130853780765504,0.164855003647958,0.2435102945872536,0.2129480152088008,0.10713875863574343,-0.2543267877788198,3,-0.009371480210351035,1.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,64.800003,65.410004,64.470001,1583600,63.447323,0.006492461919716003,48.18733223967474,0.4105949999999936,-0.18574100000000726,0.0,-0.8113197579211378,-0.9359338271166895,-0.5772128203407743,0.3973754334222636,0.20160778091244003,0.2129480152088008,0.3581817503982779,-0.14082703964541676,5,0.006513583636510981,-0.002918938493988082,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2018-11-26,65.190002,65.360001,64.279999,2790000,63.447323,0.0,54.80511004075841,0.0,0.4105949999999936,-0.18574100000000726,-0.7632926649583787,-0.6684037787732292,-0.5772128203407743,0.3025608673167608,0.33613907661334985,0.17321668262057585,0.25572552278698346,0.02477528971855114,1,0.0,0.006513583636510981,-0.002918938493988082,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,2018-11-27,65.010002,65.43,64.739998,3808800,63.857925,0.006450691236388784,54.28558698891775,0.41060200000000435,0.41060200000000435,0.821196999999998,-0.8970833795740321,-0.4424757173903402,-0.5413396510342183,0.39737704986173256,0.3361406557886325,0.3886079455820151,0.3575225756982374,0.01177481884613818,2,0.006471541754409471,0.006471541754409471,0.01302727831939497,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
19,2018-11-28,65.400002,66.870003,65.400002,4548200,65.35368299999999,0.023153102748701703,54.93068006672241,1.495757999999988,1.9063599999999923,1.9063599999999923,-0.6295022933958341,-0.2785071184636536,-0.4106593816355435,0.6479611906739272,0.673578378473494,0.6207320973063735,0.6210999515418052,0.027917536167884727,3,0.023423216460603566,0.0300463425383604,0.0300463425383604,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
20,2018-11-29,66.639999,67.790001,66.639999,2625900,66.02822900000001,0.010268566150786872,54.48420812036611,0.6745460000000207,2.1703040000000087,2.580906000000013,-0.7392789469504376,-0.7047944294141127,-0.35172614978801153,0.458326978224603,0.7331232127824794,0.7650223265613928,0.4177716870612398,0.01674508575708966,4,0.010321468799241519,0.033986447257721084,0.04067793372464293,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21,2018-11-30,67.440002,67.660004,66.269997,6067800,65.891373,-0.0020748402363534326,44.24749065512805,-0.13685600000000875,0.537690000000012,2.033448,-0.6569444842290773,0.05847784627666641,-0.363682882727983,0.2709580902275714,0.3648112597904674,0.6479171323604134,0.22298288892303342,-0.23941707444820515,5,-0.0020726892432630403,0.008227386358623615,0.03184331467081024,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,2018-12-03,67.349998,67.410004,66.400002,4039300,65.539429,-0.005355591472613481,37.18611335481917,-0.35194400000000314,-0.4888000000000119,0.18574600000000885,-0.7873063829663149,-0.39136026965893467,-0.3944312636380287,0.22128998566102728,0.1332387407340463,0.252680417332901,0.17121001762169535,-0.4161199745149784,1,-0.005341275860194978,-0.0074028942984372915,0.0028421657582788236,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
23,2018-12-04,66.879997,67.18,66.019997,5719300,64.649788,-0.0136671049790939,35.06105388206716,-0.8896409999999975,-1.2415850000000006,-1.3784410000000094,-0.7358480727533311,-0.01880516254934128,-0.47215675502641297,0.09712503540291212,-0.03658689688335015,-0.08191040497976071,0.040047705059135796,-0.46929716016588874,2,-0.013574134129242986,-0.01884290679449039,-0.02087654054752868,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
