Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,150.899994,151.429993,149.889999,151.419998,150.607620,1146100
2019-07-02,151.720001,152.839996,151.240005,152.830002,152.010056,915700
2019-07-03,153.389999,154.619995,153.050003,154.300003,153.472168,613900
2019-07-05,153.809998,154.240005,152.509995,154.089996,153.263290,612100
2019-07-08,153.979996,154.259995,153.440002,153.800003,152.974854,773400
2019-07-09,153.190002,153.630005,152.440002,153.449997,152.626724,843400
2019-07-10,154.309998,154.729996,153.259995,153.330002,152.507370,747000
2019-07-11,152.970001,153.339996,151.190002,152.429993,151.612198,933800
2019-07-12,152.919998,153.460007,151.800003,153.389999,152.567047,867600
2019-07-15,153.169998,154.960007,153.169998,154.830002,153.999329,923400
2019-07-16,154.880005,155.089996,154.100006,154.589996,153.760605,878000
2019-07-17,154.039993,154.169998,152.350006,152.380005,151.562469,944500
2019-07-18,152.350006,152.869995,151.550003,152.710007,151.890701,762000
2019-07-19,151.649994,152.389999,150.169998,150.229996,149.423996,1374300
2019-07-22,150.169998,150.839996,149.309998,149.710007,148.906799,1197600
2019-07-23,148.500000,149.970001,145.369995,147.500000,146.708649,1970200
2019-07-24,147.600006,149.149994,146.839996,148.850006,148.051422,1308500
2019-07-25,147.949997,149.050003,147.220001,148.490005,147.693344,1188900
2019-07-26,148.360001,150.250000,147.250000,149.929993,149.125610,947600
2019-07-29,149.669998,151.029999,148.529999,148.740005,147.942001,1246200
2019-07-30,148.130005,149.550003,147.279999,147.619995,146.828003,1204700
2019-07-31,148.279999,148.839996,146.110001,146.619995,145.833374,1617600
2019-08-01,146.289993,148.149994,145.470001,145.779999,144.997879,1542800
2019-08-02,146.500000,147.759995,145.470001,146.919998,146.131760,1442800
2019-08-05,146.279999,147.470001,143.580002,143.929993,143.157791,1664300
2019-08-06,143.720001,146.039993,142.789993,145.960007,145.176926,1331300
2019-08-07,144.250000,148.029999,143.119995,147.360001,146.569397,1555700
2019-08-08,147.860001,148.779999,146.229996,148.220001,147.424789,1644100
2019-08-09,148.500000,149.639999,147.580002,149.070007,148.270233,1385900
2019-08-12,148.539993,149.320007,146.250000,146.449997,145.664276,1132300
2019-08-13,146.630005,148.880005,146.000000,148.220001,147.424789,1110300
2019-08-14,146.740005,147.809998,143.429993,143.479996,142.710220,1563500
2019-08-15,143.440002,146.240005,143.039993,145.589996,144.808899,1203900
2019-08-16,146.179993,147.139999,145.339996,146.809998,146.022354,1575500
2019-08-19,148.399994,148.399994,147.020004,147.580002,146.788223,1379600
2019-08-20,147.630005,148.460007,146.389999,146.509995,145.723953,905800
2019-08-21,146.750000,147.460007,146.250000,147.039993,146.251114,849700
2019-08-22,147.639999,148.169998,146.289993,147.809998,147.016983,696800
2019-08-23,147.330002,148.770004,144.169998,144.729996,143.953506,1430500
2019-08-26,145.600006,147.419998,145.210007,147.339996,146.549500,898100
2019-08-27,148.259995,148.570007,146.699997,147.100006,146.310806,987100
2019-08-28,146.880005,147.339996,145.669998,146.369995,145.584717,1072700
2019-08-29,147.570007,147.789993,146.259995,146.940002,146.151657,1152800
2019-08-30,147.669998,147.940002,146.149994,146.960007,146.171555,1029800
2019-09-03,146.240005,147.619995,145.779999,147.570007,146.778290,1061700
2019-09-04,148.460007,150.270004,147.839996,150.160004,149.354385,969400
2019-09-05,151.750000,152.630005,150.979996,151.740005,150.925903,1230100
2019-09-06,151.779999,153.649994,151.690002,152.839996,152.020004,1277000
2019-09-09,152.789993,153.380005,148.020004,149.229996,149.229996,1658300
2019-09-10,148.850006,149.139999,145.539993,146.570007,146.570007,1629000
2019-09-11,145.860001,146.360001,144.300003,146.229996,146.229996,1440000
2019-09-12,147.179993,148.910004,146.800003,148.300003,148.300003,1358900
2019-09-13,148.389999,148.570007,145.580002,146.309998,146.309998,1631700
2019-09-16,145.710007,147.229996,145.529999,146.339996,146.339996,1161000
2019-09-17,146.479996,148.119995,146.210007,147.250000,147.250000,1322900
2019-09-18,145.839996,147.000000,144.699997,146.470001,146.470001,1276900
2019-09-19,146.800003,148.410004,146.750000,146.940002,146.940002,952300
2019-09-20,146.559998,148.330002,146.070007,146.279999,146.279999,2418600
2019-09-23,146.179993,147.389999,145.830002,146.539993,146.539993,823800
