index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,92.910004,97.900002,92.910004,8230200,94.198524,0.023191264936507125,61.13783320091515,0.0,0.0,0.0,0.6923065711604968,-0.24754940856211616,-0.6117664970941572,0.04016347544926924,0.05383970534855442,0.03511856608716024,0.3505855831081007,0.21422717514762835,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,97.75,98.07,95.849998,6437700,93.507889,-0.007358705602873291,59.32033650470591,-0.6906350000000003,0.0,0.0,-0.42915043436279143,-0.46636311478411596,-0.6422583784902818,-0.03507434069477562,0.05383970534855442,0.03511856608716024,-0.05808802100580042,0.16195467413428788,3,-0.007331696619789926,1.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,95.370003,96.0,95.08000200000001,2066200,92.505981,-0.0107725051793722,64.68244419906095,-1.0019080000000002,-1.6925430000000006,0.0,-0.9554683759801421,-0.9999999999999999,-0.6864931188463714,-0.06898443900228285,-0.09616999296412532,0.03511856608716024,-0.10375516084319983,0.3161727150646607,5,-0.010714689538120149,-0.01796782930484134,1.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
17,2018-11-26,96.410004,96.66999799999999,95.32,4687400,93.751068,0.013369754898125563,71.15752620016688,1.245086999999998,0.2431789999999978,-0.4474560000000025,-0.781379130950539,-0.6800253909349478,-0.6315219037590154,0.17580332397901388,0.07539260440398687,-0.0021547777234424345,0.21920110599208265,0.5024006907029199,1,0.013459529714084087,0.0026006254937484237,-0.004750138123183358,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,2018-11-27,95.489998,96.989998,95.389999,5044700,93.653801,-0.0010380414260635518,71.03014658587274,-0.09726700000000221,1.1478199999999958,0.1459119999999956,-0.6801640487490398,-0.6364091358537091,-0.6358162905592168,0.02956720294225327,0.155570728972332,0.047273120148548314,0.02646487917460178,0.4987371621632768,2,-0.0010375028474342522,0.012408062566246346,0.0015604244899592975,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2018-11-28,96.699997,98.290001,95.18,5659300,95.579788,0.020356359750737685,71.07651288164907,1.9259869999999921,1.82871999999999,3.073806999999988,-0.06882658788116403,-0.5613838059546624,-0.550782999204916,0.24998060866988486,0.21591873997181782,0.29116846846512834,0.31266243951304695,0.5000706898929326,3,0.020564963508528523,0.01950612445289679,0.03322819742866127,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2018-11-29,97.989998,98.480003,97.33000200000001,5938000,94.772438,-0.00848274651855569,71.0713372539191,-0.8073499999999996,1.1186369999999926,1.0213699999999903,-0.8623496582486478,-0.5273623945604804,-0.5864279063485753,-0.04778927942688757,0.15298424636842806,0.12019927830877461,-0.07312456094587239,0.4999218351487542,4,-0.00844686954107912,0.011944384403575809,0.010894489223311998,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
21,2018-11-30,97.779999,99.889999,96.91999799999999,8685900,97.126419,0.024534790027945633,78.97893443255337,2.3539810000000045,1.546631000000005,3.472617999999997,-0.12550680719312135,-0.19192128810166142,-0.48249846538376673,0.2966062993498464,0.19091725653102887,0.32438965561749755,0.3685582106308626,0.7273499687983902,5,0.024838244638172174,0.016181569685005004,0.03707930658361637,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
22,2018-12-03,102.5,102.58000200000001,100.449997,7828500,98.410416,0.013133233494945067,88.45888127503957,1.2839969999999994,3.637978000000004,2.8306280000000044,-0.46558650363006104,-0.29658565168031825,-0.4258093542947252,0.18004218159000215,0.37627286199400833,0.2709115170005868,0.21603710771053763,1.0,1,0.013219853189480808,0.03838645577525403,0.02961534085009693,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
23,2018-12-04,100.760002,101.08000200000001,95.959999,7487100,93.488434,-0.051308924006301306,80.29738299482517,-4.921982,-3.6379850000000005,-1.284003999999996,0.7449402276722996,-0.3382609650996715,-0.6431173264911241,-0.4960375233131712,-0.26859407170529537,-0.07183971036055452,-0.6460196569256792,0.7652694896157506,2,-0.05001484802177851,-0.03745618378043981,-0.013548284998218533,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
24,2018-12-06,94.110001,97.370003,93.68,7329300,94.665428,0.012511136792111471,72.94345482194075,1.1769940000000076,-3.744987999999992,-2.460990999999993,0.1659922732715271,-0.35752389555536557,-0.5911524514819648,0.16838526868975728,-0.27807772307991363,-0.16988340876131225,0.20771518473759534,0.5537652713847656,4,0.01258972847914008,-0.03805479289915808,-0.025338018484960232,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
25,2018-12-07,96.66999799999999,97.029999,92.239998,8837800,89.860176,-0.052094002658085205,64.02210178524354,-4.80525200000001,-3.6282580000000024,-8.550240000000002,0.6113360438623938,-0.17337858128150963,-0.8033067356733112,-0.48332095048020784,-0.26773196992384163,-0.6771213752325801,-0.6565218248974561,0.297180796362736,5,-0.05076036839975001,-0.0388096991762639,-0.08688348599197063,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
26,2018-12-10,92.440002,94.349998,91.970001,7549500,91.241447,0.015254394320313376,56.449109986205976,1.3812709999999981,-3.423981000000012,-2.2469870000000043,-0.3643750651569484,-0.3306436846152907,-0.7423229287305615,0.1906392166774155,-0.24962694621560033,-0.1520567516847645,0.24441233767323287,0.07937615203251314,1,0.015371336463885828,-0.036169286637567535,-0.024034919656478623,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
27,2018-12-11,95.760002,96.599998,94.5,9942500,91.96126600000001,0.00785821009269378,65.7349299316123,0.7198190000000153,2.1010900000000134,-2.7041619999999966,-0.47773509892216626,-0.0385258609113881,-0.710542559107421,0.11858059821164206,0.24005883066932335,-0.19013969382122461,0.14547197172114865,0.3464429552450492,2,0.007889166860758088,0.023381770362880364,-0.02856546531432781,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
28,2018-12-12,96.790001,97.370003,95.599998,4945000,93.196617,0.013343956094112184,64.53411135838365,1.2353509999999943,1.9551700000000096,3.3364410000000078,-0.6113356390036854,-0.6485796945763498,-0.6560011932997458,0.17474268358578343,0.2271259745009502,0.3130460326912299,0.2188559897765241,0.3119065567927981,3,0.013433384007566775,0.021428529076265194,0.03712925067050846,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
29,2018-12-13,96.239998,96.610001,95.099998,3647500,93.2258,0.000313084667691969,59.37945919574747,0.02918300000000329,1.2645339999999976,1.984353000000013,-0.7165997131576067,-0.8069678584943663,-0.6547127492232319,0.0433426731275391,0.16591506405207082,0.20041631963298578,0.04453918695946958,0.16365508488817126,4,0.00031313368381175564,0.013750724136398877,0.021748372754325267,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
