index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,21.66,21.889999,21.33,4461400,21.389999,-0.010232740450171328,34.74468392253344,0.0,0.0,0.0,-0.7500006835940174,-0.866415944042543,-0.1375466542750936,-0.11504414989426415,-0.09147597801704987,0.06448701180744831,-0.12168811592573678,-0.4260535136920457,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,21.389999,21.549999,20.58,5317200,20.610001,-0.037147032920992654,28.83471808015345,-0.7799979999999991,0.0,0.0,-0.4296880584718977,-0.8254156086810712,-0.2825276951672868,-0.2876100981869574,-0.09147597801704987,0.06448701180744831,-0.24016857592487761,-0.5836905606752355,2,-0.036465546351825404,1.0,1.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,20.52,21.17,20.25,6632300,21.08,0.022548280250659216,27.726689447141084,0.46999899999999784,-0.30999900000000125,0.0,-0.4687497924803874,-0.7624107698941216,-0.19516728624535418,-0.011062058745803197,-0.15592482786644202,0.06448701180744831,0.022618497970446322,-0.6132451074085463,3,0.02280441422588955,-0.01449270754991626,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
17,2018-07-26,21.280001000000002,22.700001,20.49,11453400,22.040001,0.04453430598360203,37.410858965098484,0.9600010000000019,1.4299999999999997,0.6500020000000006,0.5390638824468306,-0.5314377425382072,-0.016728438661710143,0.0973454753700754,0.20582128837616553,0.18256185286103604,0.1194040421275549,-0.35493838855267923,4,0.04554084440227713,0.06938379090811299,0.03038812671286243,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
18,2018-07-27,21.969998999999998,22.24,19.76,9373900,20.6,-0.06756795386122809,34.39238854399329,-1.4400009999999988,-0.4799999999999969,-0.010000999999999038,0.7500006835940147,-0.6310640540411057,-0.28438661710037216,-0.4336284771712913,-0.19126806743575092,0.06267029972752115,-0.37408570231800553,-0.4354503198022701,5,-0.06533579558367528,-0.02277039848197329,-0.0004852498551552248,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
19,2018-07-30,20.57,20.690001000000002,19.969998999999998,4351400,20.110001,-0.024073822284471726,29.509497863989836,-0.48999900000000096,-1.9299999999999997,-0.9699989999999978,-0.6249982910149551,-0.871685910027308,-0.37546449814126426,-0.22345102029325448,-0.49272333755474623,-0.11171625794731965,-0.1826184838479673,-0.5656920992078023,1,-0.023786359223301017,-0.08756805410308283,-0.046015132827324376,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
20,2018-07-31,20.219998999999998,20.52,19.959999,6254500,19.969998999999998,-0.006986156158453874,28.48742014219954,-0.14000200000000262,-0.6300010000000036,-2.0700020000000023,-0.7499991210934082,-0.7805107076127054,-0.40148717472119033,-0.14601804712589053,-0.2224533032792829,-0.31153514986376,-0.10739620018150206,-0.5929540696061701,2,-0.006961809698567524,-0.030582572815534153,-0.09392023167331083,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
21,2018-08-01,19.84,19.98,18.9,6727000,19.09,-0.045066459614953557,27.701399740944495,-0.879998999999998,-1.0200010000000006,-1.5100000000000016,-0.3437497436522431,-0.7578738082690557,-0.5650557620817849,-0.3097342156785631,-0.3035343759319774,-0.2098090826521341,-0.2750309940488986,-0.6139196620016228,3,-0.044066051280222805,-0.0507210815156101,-0.07330097087378648,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
22,2018-08-02,19.01,19.68,18.959999,5681800,19.610001,0.026875053464987968,34.755427607448866,0.5200010000000006,-0.3599979999999974,-0.5,-0.6249990722652639,-0.8079480668806591,-0.46840130111524214,3.318584441691641e-07,-0.16631962928070304,-0.026339509536784184,0.04166555563697795,-0.425766946424323,4,0.027239444735463626,-0.018026941313316912,-0.024863250877013878,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
23,2018-08-03,19.01,20.360001,19.01,5388500,19.68,0.0035632004214631928,40.88614183672567,0.06999899999999926,0.5899999999999999,-0.2899989999999981,-0.1328113800044468,-0.82199971254731,-0.455390334572491,-0.09955764375637646,0.031185131893437593,0.011807811080836499,-0.06095646480155155,-0.2622418579930452,5,0.003569556166774252,0.030906233630172857,-0.014521733326075687,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
