Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,131.179993,132.080002,130.839996,131.339996,129.916321,3922800
2019-07-02,131.639999,132.300003,131.240005,131.960007,130.529602,3395000
2019-07-03,132.449997,133.070007,131.710007,133.000000,131.558334,2037600
2019-07-05,132.750000,132.750000,130.850006,132.539993,131.103302,3546900
2019-07-08,131.880005,132.070007,130.279999,130.869995,129.451401,3202300
2019-07-09,130.100006,130.529999,128.940002,130.389999,128.976608,3022800
2019-07-10,131.000000,132.259995,130.190002,130.449997,129.035965,2339300
2019-07-11,130.440002,131.789993,130.070007,131.339996,129.916321,2438100
2019-07-12,131.910004,133.809998,131.710007,133.720001,132.270523,3202300
2019-07-15,133.259995,133.830002,132.880005,133.229996,131.785828,2378700
2019-07-16,133.350006,133.679993,132.710007,133.190002,131.746277,3200200
2019-07-17,133.059998,133.250000,130.070007,130.100006,128.689758,2736100
2019-07-18,129.880005,131.350006,129.759995,131.300003,129.876755,2918900
2019-07-19,131.639999,132.880005,130.929993,132.389999,130.954941,3234100
2019-07-22,132.289993,133.190002,131.550003,132.949997,131.508865,3398000
2019-07-23,136.320007,136.500000,132.009995,134.940002,133.477295,8090100
2019-07-24,134.380005,136.869995,133.970001,134.250000,132.794785,3577200
2019-07-25,134.919998,138.309998,134.899994,136.360001,134.881897,3989700
2019-07-26,135.809998,136.679993,135.289993,135.630005,134.159821,2216100
2019-07-29,135.559998,136.369995,135.380005,135.720001,134.248840,2051400
2019-07-30,135.380005,135.720001,134.440002,135.300003,133.833405,2255600
2019-07-31,135.250000,136.029999,133.000000,133.600006,132.151825,3366100
2019-08-01,133.309998,135.509995,131.660004,131.839996,130.410889,2916000
2019-08-02,131.429993,131.869995,129.410004,130.809998,129.392059,2167200
2019-08-05,128.839996,128.929993,124.730003,125.750000,124.386917,3979100
2019-08-06,125.500000,129.059998,125.500000,128.800003,127.403862,3802900
2019-08-07,127.120003,130.119995,125.139999,129.009995,127.611565,4301700
2019-08-08,129.580002,131.690002,129.580002,131.479996,130.054794,2676600
2019-08-09,131.399994,132.020004,129.529999,131.240005,129.817398,2370900
2019-08-12,129.850006,130.229996,127.529999,128.020004,126.632309,2602300
2019-08-13,127.860001,130.710007,127.699997,128.949997,127.552223,2400200
2019-08-14,127.099998,127.260002,123.769997,124.300003,122.952629,3359200
2019-08-15,124.000000,124.419998,122.440002,123.739998,123.126762,3962000
2019-08-16,124.989998,125.680000,124.019997,125.050003,124.430275,2532000
2019-08-19,126.730003,127.309998,125.989998,126.639999,126.012390,1823100
2019-08-20,125.980003,127.269997,125.410004,126.680000,126.052193,1989600
