Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,218.610001,221.720001,217.639999,219.179993,219.179993,716700
2019-07-02,219.589996,219.630005,216.339996,217.199997,217.199997,627600
2019-07-03,217.570007,222.679993,217.339996,221.679993,221.679993,388900
2019-07-05,221.699997,221.960007,218.029999,220.229996,220.229996,505800
2019-07-08,219.539993,220.410004,216.679993,217.149994,217.149994,530600
2019-07-09,216.440002,218.080002,216.229996,216.990005,216.990005,737000
2019-07-10,217.669998,219.199997,217.029999,217.270004,217.270004,572900
2019-07-11,217.990005,218.059998,213.929993,216.850006,216.850006,573800
2019-07-12,213.750000,218.300003,212.580002,217.130005,217.130005,624300
2019-07-15,217.250000,217.460007,215.470001,216.619995,216.619995,573400
2019-07-16,213.500000,216.600006,213.490005,214.809998,214.809998,532600
2019-07-17,213.960007,214.919998,210.979996,212.809998,212.809998,740300
2019-07-18,213.309998,215.520004,212.529999,214.809998,214.809998,532400
2019-07-19,215.660004,217.000000,213.690002,213.720001,213.720001,560200
2019-07-22,214.160004,217.839996,213.449997,216.009995,216.009995,420500
2019-07-23,216.690002,219.279999,215.610001,218.610001,218.610001,437300
2019-07-24,217.289993,218.559998,216.050003,218.500000,218.500000,587200
2019-07-25,218.059998,219.000000,217.229996,218.250000,218.250000,344300
2019-07-26,218.919998,219.910004,217.289993,217.630005,217.630005,623800
2019-07-29,218.080002,220.410004,217.720001,219.139999,219.139999,804400
2019-07-30,209.940002,217.589996,207.949997,213.320007,213.320007,1168600
2019-07-31,214.000000,217.000000,210.300003,210.559998,210.559998,675500
2019-08-01,211.220001,214.259995,209.789993,211.759995,211.759995,553600
2019-08-02,211.880005,211.880005,207.679993,209.520004,209.520004,472000
2019-08-05,205.429993,207.470001,202.550003,204.309998,204.309998,644000
2019-08-06,206.360001,209.690002,205.710007,209.610001,209.610001,521700
2019-08-07,207.320007,211.330002,205.850006,210.350006,210.350006,541100
2019-08-08,211.050003,213.220001,210.419998,212.970001,212.970001,399700
2019-08-09,211.949997,213.369995,210.529999,212.009995,212.009995,490400
2019-08-12,211.020004,211.250000,205.380005,205.830002,205.830002,590300
2019-08-13,205.320007,209.820007,204.779999,208.080002,208.080002,548800
2019-08-14,205.410004,206.089996,199.869995,200.039993,200.039993,561000
2019-08-15,201.949997,203.279999,200.559998,202.259995,202.259995,463400
2019-08-16,203.990005,207.089996,202.910004,205.539993,205.539993,651800
2019-08-19,207.600006,210.949997,207.500000,209.869995,209.869995,542900
2019-08-20,209.289993,210.839996,207.399994,207.529999,207.529999,376400
2019-08-21,209.190002,210.949997,207.679993,210.179993,210.179993,287100
2019-08-22,210.960007,211.979996,208.399994,209.990005,209.990005,362800
2019-08-23,209.520004,211.610001,204.100006,204.960007,204.960007,657200
2019-08-26,206.119995,206.910004,202.039993,203.050003,203.050003,449200
2019-08-27,204.110001,205.050003,202.679993,204.190002,204.190002,370100
2019-08-28,203.500000,206.630005,202.020004,206.350006,206.350006,281000
2019-08-29,209.169998,211.669998,208.509995,210.919998,210.919998,437500
2019-08-30,212.300003,213.869995,211.339996,211.889999,211.889999,497200
2019-09-03,210.419998,213.429993,209.320007,211.589996,211.589996,641000
2019-09-04,213.710007,214.610001,210.410004,212.190002,212.190002,466400
2019-09-05,214.330002,219.110001,214.130005,218.119995,218.119995,607400
2019-09-06,219.100006,219.100006,216.500000,217.240005,217.240005,482100
2019-09-09,217.800003,217.800003,213.339996,217.070007,217.070007,373300
2019-09-10,216.570007,223.270004,215.610001,223.190002,223.190002,607900
2019-09-11,224.199997,234.820007,224.199997,231.259995,231.259995,845200
2019-09-12,233.610001,237.509995,232.779999,232.779999,232.779999,690900
2019-09-13,231.949997,234.899994,229.899994,232.130005,232.130005,481600
2019-09-16,230.139999,232.250000,230.139999,231.520004,231.520004,478800
2019-09-17,231.570007,231.660004,228.610001,228.690002,228.690002,439600
2019-09-18,228.600006,228.970001,225.779999,228.339996,228.339996,509500
2019-09-19,228.110001,229.210007,227.509995,228.699997,228.699997,521600
2019-09-20,228.899994,231.669998,228.279999,228.699997,228.699997,1334100
2019-09-23,227.860001,229.229996,226.429993,227.789993,227.789993,449300
2019-09-24,228.529999,228.619995,220.350006,221.039993,221.039993,616000
2019-09-25,220.729996,220.729996,216.289993,220.199997,220.199997,501700
2019-09-26,220.500000,220.610001,216.300003,217.229996,217.229996,509400
2019-09-27,218.720001,222.889999,218.279999,222.529999,222.529999,557800
2019-09-30,222.690002,226.470001,222.690002,223.229996,223.229996,459600
2019-10-01,224.429993,225.550003,221.820007,224.199997,224.199997,497100
2019-10-02,222.089996,223.119995,219.869995,221.990005,221.990005,528400
2019-10-03,221.809998,224.929993,218.699997,224.559998,224.559998,695700
2019-10-04,225.820007,227.990005,223.410004,227.000000,227.000000,420900
2019-10-07,225.289993,226.949997,223.419998,223.479996,223.479996,394000
2019-10-08,214.580002,220.149994,207.199997,208.009995,208.009995,1008800
2019-10-09,207.210007,209.199997,205.570007,208.350006,208.350006,626800
2019-10-10,208.389999,212.029999,207.690002,211.300003,211.300003,584400
2019-10-11,215.210007,216.449997,212.750000,213.619995,213.619995,538600
2019-10-14,213.270004,216.610001,212.679993,213.869995,213.869995,574100
2019-10-15,215.259995,216.889999,215.139999,215.389999,215.389999,374000
