index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,83.139999,83.620003,82.66999799999999,3221500,81.366776,0.0,43.781441240694946,0.0,0.0,0.0,-0.7111063539165141,0.7251377639705612,-0.9218945727061278,0.13357399931776825,0.0834341671234835,0.17139611887519002,0.13237225741027925,-0.13795142360743018,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,83.16999799999999,83.730003,82.5,2070600,82.023193,0.008035016294066362,43.72647052368321,0.6564170000000047,0.0,0.0,-0.5037007352581768,-0.12615111505603016,-0.7972998533240734,0.3730544088755786,0.0834341671234835,0.17139611887519002,0.38867156446418216,-0.13999658254602876,2,0.008067383670209628,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,84.0,84.010002,82.589996,2051100,81.40596,-0.007553559734204855,37.54146908670956,-0.617233000000013,0.03918399999999167,0.0,-0.3629579808029946,-0.1405747253966494,-0.9144570452132914,-0.09161092373053495,0.09301058699807199,0.17139611887519002,-0.10856964672706887,-0.37010656949365317,3,-0.00752510329608862,0.0004815724786735027,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2019-07-25,82.860001,83.129997,82.220001,1619400,80.95528399999999,-0.005551536146998652,37.21679143944899,-0.4506760000000014,-1.0679090000000144,-0.41149200000000974,-0.7407426063072498,-0.4598912681682015,-1.0,-0.030845985322902725,-0.17755871190505434,0.07699320767598597,-0.04470950763992826,-0.38218604432234016,4,-0.005536154846647609,-0.013019598005652064,-0.005057248427785928,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
18,2019-07-26,82.58000200000001,83.279999,82.139999,1588800,81.445145,0.006032773296187562,37.76051229906712,0.48986100000000476,0.039185000000003356,-0.5780480000000097,-0.5703695253784848,-0.48252524131809604,-0.9070193279101346,0.3122898352976391,0.09301083139425376,0.038782571071400096,0.3248044266602638,-0.3619571727230637,5,0.0060510071214129124,0.00048135296236299354,-0.007047372564489286,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2019-07-29,83.75,84.68,83.41999799999999,1113300,82.01339,0.00695280046583502,36.55921133070522,0.5682450000000046,1.0581060000000093,0.6074300000000079,-0.4814792866973465,-0.8342394319316543,-0.7991605638695098,0.34088664559167353,0.34203123041012007,0.31075037205564526,0.3541512652255497,-0.4066509942147507,1,0.006977027298557877,0.013070252461840655,0.007461738673679519,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2019-07-30,83.57,84.41999799999999,83.07,1326600,82.24852800000001,0.002862966212418237,29.878838525245015,0.2351380000000063,0.8033830000000108,1.2932440000000156,-0.41481568175454997,-0.676467324975036,-0.7545289453616739,0.21935932258423685,0.27977790252845136,0.46808718089073836,0.22369456834366275,-0.6551910333294193,2,0.0028670684140724616,0.009864099327222155,0.01597479418391041,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2019-07-31,83.730003,84.68,82.83000200000001,2011600,81.435356,-0.00993596522813111,30.13842527368645,-0.8131720000000087,-0.5780340000000024,-0.009788999999997827,-0.044445860080210675,-0.16979178224046754,-0.9088773811111199,-0.16309528804216372,-0.057835133759251284,0.16915036416372836,-0.18456313010875508,-0.6455332339086217,3,-0.009886766605719783,-0.007048044227899888,-0.00012019132632151159,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
22,2019-08-01,82.769997,84.43,81.360001,2791000,82.00359300000001,0.006953535776815867,28.639870429095055,0.5682370000000105,-0.24493499999999813,-0.00979699999999184,0.8592572455448284,0.4067088279892008,-0.8010201355530349,0.3408837269541687,0.023572989041031188,0.16914852883451412,0.35417472002488837,-0.7012862420919075,4,0.006977767740095721,-0.0029779864266993093,-0.00011945610344837397,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,2019-08-02,83.699997,85.239998,83.699997,1511800,83.042114,0.012584813326844833,34.976154522283124,1.0385209999999887,1.6067579999999992,0.7935859999999906,-0.27407292729936783,-0.5394800103554125,-0.6038981344967436,0.5124572921246004,0.4761196827639824,0.3534575652384945,0.5338000600464705,-0.46554785709108293,5,0.012664335329794496,0.019730471860404213,0.00964863468437989,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
24,2019-08-05,85.16999799999999,85.510002,83.779999,3232300,83.120483,0.0009432809456019562,45.024056885749935,0.07836899999999503,1.1168899999999837,1.6851269999999943,-0.13333091358383764,0.7331262250822883,-0.5890228897007503,0.16216533716647527,0.35639781539143095,0.5579914707663005,0.1624608401669149,-0.09172050955214939,1,0.0009437259749913764,0.0136200129669926,0.020692817994189087,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
25,2019-08-06,84.510002,86.800003,84.040001,2564700,83.67894,0.006696175282435468,47.61598011049769,0.5584570000000042,0.6368259999999992,1.675346999999988,0.6296301783256606,0.23932098080550301,-0.4830219890507905,0.3373156926018029,0.23907200815696594,0.5557477808002045,0.3459654875904181,0.004710740382658285,2,0.006718644789395704,0.007668711323991574,0.02043016578554049,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
26,2019-08-07,85.449997,87.910004,84.650002,2256600,85.48164399999999,0.021314329902658805,49.62296464646364,1.8027039999999914,2.3611609999999956,2.4395299999999907,1.0,0.011427937423721168,-0.1408501699039597,0.791253937880447,0.6604928933257086,0.7310637040476549,0.8122523951025818,0.07937962932008502,3,0.021543102720947366,0.02840648796518658,0.029377021880728982,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
27,2019-08-08,86.720001,88.269997,86.07,2649500,86.128273,0.007536068679462974,57.15017443311823,0.6466290000000043,2.4493329999999958,3.00779,0.21481227435219163,0.30204519397906715,-0.018113313912575535,0.36948345588570797,0.6820417932129687,0.8614317265561345,0.37275623545937575,0.3594258287283485,4,0.0075645363114448805,0.02927060261518604,0.03618590618632474,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
28,2019-08-09,87.889999,88.440002,87.339996,1507000,86.490768,0.0041999484037732295,65.91655551250403,0.3624950000000098,1.0091240000000141,2.8118280000000055,-0.5999946666745667,-0.5430304375161803,0.050691977239846864,0.2658229372073418,0.33006021677452524,0.8164748785872373,0.26634135294828687,0.6855747967296248,5,0.004208780547591031,0.011805154332315068,0.033602576705680134,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
29,2019-08-12,88.300003,88.870003,87.370003,1199800,86.20665,-0.0032903590525332213,64.9376548977292,-0.28411800000000653,0.07837700000000325,0.7250060000000076,-0.3037032537729609,-0.7702577758053182,-0.0032365506340354955,0.02991931791441177,0.10258920643827557,0.33772420553760196,0.027417057039924392,0.6491552728242147,1,-0.0032849517534635202,0.0009100031530877584,0.0084814232164277,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,2019-08-13,87.949997,88.239998,86.480003,1834900,86.06948100000001,-0.00159243219812668,65.2213628440503,-0.13716899999998589,-0.4212869999999924,-0.058791999999982636,-0.1111146502005187,-0.30049188209623146,-0.029272642116911385,0.08353067579227809,-0.019526765902918714,0.1579082844696078,0.08157718071434385,0.6597104897453656,2,-0.0015911649507315954,-0.00487088980410016,-0.0006826097627660855,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,2019-08-14,87.110001,87.550003,86.449997,1556800,85.653885,-0.0048403059068974396,65.17074303616718,-0.41559600000000785,-0.5527649999999937,-0.8368830000000003,-0.5999946666745667,-0.5061947557232147,-0.10815705095505379,-0.01804775985450932,-0.051659486714255604,-0.02059835861920023,-0.022022830846461616,0.6578272042764821,3,-0.004828610503646557,-0.006412092338584016,-0.009675980678076535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
32,2019-08-15,86.489998,88.470001,86.440002,1866900,87.35588100000001,0.019675778399032798,65.65493403743952,1.7019960000000083,1.2864000000000004,1.1492310000000145,0.08888801646218747,-0.2768223676911128,0.2148993507063608,0.7545126696230073,0.39782541167925245,0.4350482725996155,0.7599862142285487,0.6758412962889571,4,0.019870622330791045,0.014946064331444037,0.013331117726996869,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
33,2019-08-16,88.209999,89.059998,86.440002,1500700,87.86054200000001,0.005760446273945217,66.21795401942003,0.5046609999999987,2.206657000000007,1.7910609999999991,0.5259221838189754,-0.547690373164688,0.3106892154997247,0.3176893146856715,0.6227327060986867,0.5822944414072284,0.31611779497983905,0.6967881824012716,5,0.0057770695484142464,0.025762485846380547,0.020809478332976108,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
34,2019-08-19,88.980003,89.620003,88.309998,1644600,88.48394,0.007070259186169992,71.29934779624963,0.6233979999999946,1.1280589999999933,2.8300550000000015,-0.4444400823109903,-0.4412515255741707,0.42901658799820197,0.3610080973949319,0.35912747631373065,0.820656446788873,0.35789793947330734,0.8858389801378901,1,0.007095312478268055,0.012913372140336986,0.03304059121194563,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
35,2019-08-20,89.900002,90.25,88.5,2286100,87.62305500000001,-0.009776918373078224,70.24830900979912,-0.8608849999999961,-0.23748700000000156,0.26717399999999714,-0.11851834293579144,0.033248271015939856,0.2656117325553673,-0.18050240696386854,0.025393251781586454,0.23269014985692302,-0.1794898860421239,0.8467355904465341,2,-0.009729279686234542,-0.002702999487528788,0.0030584546448566767,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36,2019-08-21,88.699997,89.339996,87.959999,1074600,87.999077,0.004282177540062659,74.36781988327053,0.37602199999999186,-0.48486300000000426,0.1385349999999903,-0.3925942331937302,-0.8628647509153444,0.3369845878767208,0.27075798840206133,-0.03506449737359757,0.20317828548591516,0.2689642811265639,1.0,3,0.0042913591634073,-0.0054796723563621174,0.0015767601342590203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
37,2019-08-22,88.809998,89.260002,88.220001,1322400,87.969391,-0.00033740136081216793,74.2567186141791,-0.029685999999998103,0.34633599999999376,-0.5145490000000024,-0.644442748973707,-0.6795739487407079,0.33134987878238675,0.12274366518849882,0.16807736214405627,0.05335026730422797,0.12160989778207756,0.9958665310200798,4,-0.0003373444473741253,0.003952567049847711,-0.005815168266693395,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
