index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,148.970001,149.610001,147.809998,1589200,145.879379,0.001079199275967434,41.112405619149875,0.0,0.0,0.0,-0.9359269308980191,-0.06993828974434324,0.11448255681617958,0.04938507765204703,0.11679158198253758,0.19214924181299975,0.10768934941737482,-0.35867043301038026,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,146.979996,152.5,138.009995,3045600,140.097305,-0.040442892109792294,32.27906746483501,-5.782073999999994,0.0,0.0,1.0000000000000004,1.0,-0.227183532732516,-1.0,0.11679158198253758,0.19214924181299975,-0.9059063645803743,-0.6850309257377509,2,-0.03963599269229131,1.0,1.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,142.33999599999999,147.380005,141.809998,1314500,144.129028,0.028371709262397134,37.97896927097528,4.0317229999999995,-1.7503509999999949,0.0,-0.3607928786580541,-0.27174551866000596,0.011053306082335013,0.7811000217061265,-0.06676173171208166,0.19214924181299975,0.7739267720336478,-0.47443978460263025,3,0.028778019677109416,-0.011998618392802418,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
17,2019-07-25,146.66000400000001,149.0,145.5,612500,144.542023,0.0028613557220053313,41.869792594506464,0.4129949999999951,4.444717999999995,-1.3373559999999998,-0.6765833961416152,-0.7874669409344697,0.03545741897559118,0.12433928787919085,0.5828939336469307,0.08527198256406457,0.1511935678970101,-0.3306876724566108,4,0.002865453307573788,0.0317259350563524,-0.009167546565988602,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
18,2019-07-26,146.66000400000001,149.070007,144.880005,630400,146.459549,0.013178992406583807,45.70414078940037,1.9175260000000094,2.3305210000000045,6.362244000000004,-0.5713199411655261,-0.7743167793123715,0.14876513693768523,0.3973956998630099,0.3611853362551948,0.7005996479823241,0.40305738238833166,-0.18902211586715634,5,0.013266218088008975,0.016169685124082043,0.045413036317864953,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2019-07-29,148.899994,150.080002,147.75,587400,146.528381,0.00046986236782057666,50.04716396694457,0.06883199999998624,1.9863579999999956,2.3993529999999907,-0.855072779933423,-0.8059065530414341,0.15283245954127267,0.0618773552785408,0.32509414134566916,0.3838979404472523,0.09281482701578615,-0.028562824103560036,1,0.00046997277043360437,0.013742425619710579,0.01664725720623045,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2019-07-30,148.220001,150.770004,147.419998,568800,148.23941000000002,0.011609465279869769,54.081686395890785,1.7110290000000248,1.779861000000011,3.6973870000000204,-0.6994657742589003,-0.8195709667940054,0.2539381506020266,0.3599186854941348,0.30343950829321564,0.4876327098967747,0.36474365792150126,0.1204984599578156,2,0.011677116667248407,0.012152577364552795,0.02558001419421133,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
21,2019-07-31,150.559998,151.130005,144.320007,1157600,143.057159,-0.03558433825425827,51.38405666895276,-5.182251000000008,-3.471221999999983,-3.402389999999997,-0.17162569247706116,-0.3870114604760506,-0.05228405171323658,-0.8911384901970347,-0.2472235787878807,-0.07975899959466154,-0.7873042132955415,0.020830616216382047,3,-0.03495865910421532,-0.0236897587778574,-0.023230919548987528,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
22,2019-08-01,145.449997,146.820007,139.899994,905900,137.589767,-0.038967708681277836,45.44426675615939,-5.467392000000018,-10.649643000000026,-8.938614000000001,-0.15484232228509787,-0.5719218336761682,-0.37535540027602465,-0.9428885560776847,-1.0,-0.5221965014327492,-0.869895663996647,-0.19862353902722707,4,-0.03821823415352473,-0.0718408350384019,-0.061002612183369456,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
23,2019-08-02,139.399994,139.399994,134.71000700000002,900700,133.32203700000002,-0.031509022650549466,44.862288039185074,-4.267729999999972,-9.73512199999999,-14.917372999999998,-0.4950445846647935,-0.5757419923596827,-0.6275380289227099,-0.7251626326415164,-0.9040973153422804,-1.0,-0.6878216898664821,-0.2201255870084653,5,-0.031017786373604164,-0.06805057550457848,-0.10063027773788358,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
24,2019-08-05,133.009995,133.529999,130.46000700000002,910500,130.942352,-0.018010367073557472,38.55655875589486,-2.3796850000000234,-6.647414999999995,-12.114807000000013,-0.742183391137804,-0.5685424625330592,-0.7681549889110633,-0.3825024991088935,-0.5803000589245263,-0.7760277944359992,-0.3583060276986729,-0.453099903167159,1,-0.017849149724587714,-0.04831329498508414,-0.08468508031814061,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
25,2019-08-06,134.5,136.490005,133.630005,787700,134.03988600000002,0.023380247099196606,37.40016999915172,3.0975340000000244,0.7178490000000011,-3.5498809999999708,-0.7742187815241205,-0.6587569791360565,-0.5851199172353736,0.6115546308469533,0.1920699476831138,-0.09154601355645026,0.6520801962386453,-0.4958243633703192,2,0.023655707665920223,0.005384323673362424,-0.025800472501708437,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
26,2019-08-07,135.309998,138.949997,133.029999,617800,136.222916,0.01615521975592838,36.03884117741386,2.183029999999974,5.280563999999998,2.900878999999975,-0.3073999002746065,-0.7835733176608876,-0.4561234146884523,0.445581858611046,0.6705462405490284,0.4239783112102202,0.4757100639970701,-0.5461206315834091,3,0.016286420894150666,0.04032739537166705,0.02175843592908781,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
