index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,196.070007,197.380005,195.41000400000001,325000,194.997818,-0.0012259900989793368,44.269055968140734,0.0,0.0,0.0,-0.8735345595069048,-0.9163207163207162,0.5161323621299587,0.10157063013851042,0.1132981136065565,-0.0020494421239135585,0.061174513535012284,-0.10965159205315356,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,196.520004,197.059998,194.800003,273600,195.994537,0.005098417635542265,42.6628734467505,0.996719000000013,0.0,0.0,-0.8056203453649745,-1.0,0.6462048578612851,0.266723616600849,0.1132981136065565,-0.0020494421239135585,0.26145801292117987,-0.19310797378285827,2,0.00511143668284541,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,196.059998,197.33999599999999,194.919998,365300,196.532745,0.002742272254490253,43.06913664777693,0.5382079999999974,1.5349270000000104,0.0,-0.7681489562833029,-0.8507122507122507,0.7164413616126559,0.1907498858143034,0.30837031726603237,-0.0020494421239135585,0.18684279806021897,-0.17199875591000602,3,0.002746035722414025,0.007871508592983386,1.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2019-07-25,197.309998,198.190002,196.300003,433000,196.004486,-0.002691511923885298,49.92789479947838,-0.5282589999999914,0.00994900000000598,1.006668000000019,-0.892270371143639,-0.7404965404965405,0.6475032090114397,0.01403989030551242,0.11456252120001814,0.10437037599675528,0.014763868959268303,0.18437863637083707,4,-0.0026878930531397775,5.076161893229698e-05,0.005162457766578798,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,2019-07-26,196.990005,199.490005,196.08999599999999,480700,198.526184,0.012783454024176246,57.33268299418226,2.5216979999999865,1.993438999999995,2.5316469999999924,-0.5386384253225005,-0.6628408628408627,0.9765864835759714,0.5194075085928176,0.36664210885241405,0.2655833954012,0.5048303642046124,0.56912745661695,5,0.01286551165976878,0.010143037487213619,0.012916926352901318,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2019-07-29,198.630005,199.899994,197.639999,595200,198.70559699999998,0.0009033165057846338,65.6251578629134,0.1794129999999825,2.701110999999969,2.1728519999999776,-0.8056203453649745,-0.4764346764346763,1.0,0.13129876089568898,0.4565793739523847,0.22765341387540775,0.12860612072573152,1.0,1,0.0009037246190154066,0.013780863158407347,0.011055928618917818,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2019-07-30,199.08999599999999,199.350006,196.970001,538000,196.841751,-0.009424205745762516,57.346052892782865,-1.8638459999999952,-1.6844330000000127,0.8372649999999737,-0.7775149885673395,-0.5695563695563695,0.7567668511598136,-0.20726238418737186,-0.10077464505020192,0.0864619529127791,-0.19844937337815044,0.56982214937225,2,-0.009379937093568609,-0.008484689354629477,0.0042716624353178,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
21,2019-07-31,199.479996,200.899994,192.91000400000001,1414500,194.579193,-0.011560869363604008,42.26664810932648,-2.2625579999999843,-4.1264039999999795,-3.946990999999997,0.5362974441830122,0.8573870573870577,0.46150151981078835,-0.27332762177025055,-0.41112208453268173,-0.41930524477573977,-0.26611396496615214,-0.2136956296505228,3,-0.01149429929629098,-0.02076642058552573,-0.019881463092042292,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
22,2019-08-01,195.899994,200.929993,195.399994,608600,195.3965,0.004191585328532702,50.36851223492736,0.8173069999999996,-1.4452509999999847,-3.30909699999998,-0.039812253125261376,-0.4546194546194545,0.5681606296187489,0.23699565154030242,-0.07037726470854011,-0.3518703372786638,0.23274013838995383,0.20727288182543546,4,0.004200382309119761,-0.007342197438591089,-0.016653265182057155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23,2019-08-02,196.199997,197.58999599999999,192.059998,670900,194.738678,-0.0033722804838223625,43.42454242416051,-0.6578220000000101,0.15948499999998944,-2.103072999999995,-0.03981248731705822,-0.3531949531949532,0.4823144189144557,-0.007428263090803688,0.1335668888646823,-0.22437561734204367,-0.006794941791030504,-0.15353206252503693,5,-0.0033666007323570795,0.0008196405666046186,-0.010684079923674298,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,2019-08-05,194.080002,196.33999599999999,186.690002,1156700,188.090561,-0.034734992696032724,39.44533395570226,-6.648116999999985,-7.305938999999995,-6.4886319999999955,0.9250567534530632,0.43768823768823784,-0.38526929334931737,-1.0,-0.8152057308966004,-0.6879945971223224,-1.0,-0.36028959879699496,1,-0.03413865734469033,-0.037390326848229086,-0.033346998206534834,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
25,2019-08-06,188.71000700000002,194.58999599999999,188.240005,684300,193.512695,0.028419563259947263,46.239427639275426,5.422134,-1.2259829999999852,-1.8838049999999953,0.15222314168520823,-0.3313797313797313,0.32232281793747575,0.9999999999999999,-0.042510732976408505,-0.20119572021639517,1.0,-0.007272137572922777,2,0.02882725199591488,-0.006295529026853028,-0.009640935226577729,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
26,2019-08-07,190.929993,194.259995,189.520004,506600,192.71533200000002,-0.004128981208393673,46.833383953790786,-0.79736299999999,4.62477100000001,-2.023345999999975,-0.22482564128445381,-0.6206756206756205,0.2182664134605723,-0.030549737532384075,0.7010552319518809,-0.21594728462529048,-0.03075839820734183,0.023589513736828494,3,-0.004120468685529856,0.02458800152124598,-0.010390057182168892,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
27,2019-08-08,194.259995,198.309998,193.279999,644500,197.569351,0.024875530663717137,52.976859922826705,4.854018999999994,4.056656000000004,9.478790000000004,-0.1569081484574557,-0.396174196174196,0.8517191375054267,0.9058652549975957,0.6288541142557276,1.0,0.8877663679972545,0.34280122771772215,4,0.025187508173973378,0.02096325514974614,0.05039482018451741,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
28,2019-08-09,198.0,199.740005,196.28999299999998,853700,196.572632,-0.0050576754959825365,59.24670034848618,-0.996719000000013,3.857299999999981,3.059936999999991,-0.5269281332139082,-0.05559625559625547,0.7216466417741003,-0.06358235632382814,0.603518176955294,0.3214315257827825,-0.06016860538973995,0.6685787710415441,5,-0.005044906990659765,0.020015532547249436,0.015812590486634432,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
29,2019-08-12,196.729996,197.059998,192.559998,550500,192.296707,-0.02199246334911855,54.66072608110121,-4.275925000000001,-5.272644000000014,-0.41862500000002,-0.2810295633177917,-0.5492063492063491,0.16363557114139482,-0.6069357629762651,-0.556796479942133,-0.04630434678043019,-0.5964652382071698,0.4302940095250185,1,-0.021752392265877586,-0.026687560460731653,-0.002172245434006361,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
30,2019-08-13,192.940002,196.78999299999998,192.300003,1476500,194.35990900000002,0.010672113171118198,59.376723958299955,2.063202000000018,-2.2127229999999827,-3.2094419999999957,-0.2833738231423475,0.9583231583231584,0.43288481123600775,0.44343626325583674,-0.16791444679403594,-0.3413353178136432,0.4379677025613354,0.6753347280202693,2,0.010729263294144803,-0.011256516115630902,-0.016244635029448447,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
31,2019-08-14,193.03999299999998,194.360001,189.679993,1015000,189.71521,-0.024187588377109045,52.50222828683963,-4.644699000000003,-2.5814969999999846,-6.8574219999999855,-0.2388731674638731,0.20700040700040723,-0.17325151289424667,-0.6680403746367852,-0.21478153352345009,-0.7269811991844914,-0.6659812056544128,0.3181396226595088,3,-0.023897412917599187,-0.013424551258696201,-0.034884927419601246,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
32,2019-08-15,190.259995,191.28999299999998,188.600006,949100,189.834824,0.0006302937333415576,46.32892674145629,0.11961399999998434,-4.5250850000000185,-2.4618830000000003,-0.7049197489136197,0.09971509971509973,-0.15764180594132782,0.12139026769202682,-0.4617900193772513,-0.2623071845915013,0.11995994252654099,-0.002621812260201306,4,0.0006304924101762022,-0.023281987644890378,-0.012802522926198628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
33,2019-08-16,192.130005,194.770004,190.869995,1502100,193.911392,0.021246965766274124,50.114084283174535,4.076568000000009,4.196181999999993,-0.4485170000000096,-0.4215425299903063,1.0000000000000002,0.37435304293628846,0.7770442387652099,0.6465863219032507,-0.04946437690283585,0.7728557382725456,0.1940529420107424,5,0.021474289669844816,0.02211832145667178,-0.002307662121821685,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
34,2019-08-19,197.139999,198.479996,195.669998,543400,196.811844,0.014846853277297121,54.49110208632895,2.9004520000000014,6.97702000000001,7.096633999999995,-0.676814157924188,-0.5607651607651607,0.7528639676692457,0.5821657726918847,1.0000000000000002,0.7481705902491625,0.5701747949234066,0.42148043779845157,1,0.01495761528028225,0.03675310911342595,0.03740677407994854,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
35,2019-08-20,196.869995,197.389999,192.779999,447200,192.73526,-0.02093062832890238,59.11089801410214,-4.076583999999997,-1.1761319999999955,2.9004360000000133,-0.25526846634471245,-0.7173789173789173,0.2208670307809335,-0.5739056296343811,-0.03617522358434852,0.3045698917484613,-0.5628386849318593,0.6615225546357464,2,-0.020713103018332558,-0.00606530636425938,0.015278735159782977,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0
36,2019-08-21,194.759995,197.520004,192.550003,368500,193.114014,0.001963223191918571,58.21078102491023,0.3787539999999865,-3.6978300000000104,-0.797378000000009,-0.1709591875137395,-0.8455026455026454,0.2702946809493554,0.16432889423757296,-0.3566550808177496,-0.08634418650182368,0.1621716068601828,0.6147529589945413,3,0.0019651515763124323,-0.018788655829066924,-0.00411207403430949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
37,2019-08-22,195.0,195.600006,191.990005,312800,193.662216,0.0028347262555283395,60.12710236561582,0.5482020000000034,0.9269559999999899,-3.149628000000007,-0.4894600228173043,-0.9361823361823362,0.3418354083809625,0.1924058580057692,0.23110394386126565,-0.335012086121498,0.18977066287182587,0.7143239873159541,4,0.0028387478911810274,0.004809478037386568,-0.016003244194998788,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,2019-08-23,193.419998,194.949997,188.050003,593300,188.588928,-0.026545824633157477,63.31422094363268,-5.073287999999991,-4.5250859999999875,-4.146332000000001,0.2810293291259949,-0.47952787952787945,-0.3202320667286429,-0.7390561306471596,-0.4617901464661601,-0.4403785608680286,-0.7406626350572945,0.8799249580167094,5,-0.02619658137135016,-0.023432198970293205,-0.02151309521672371,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
39,2019-08-26,190.740005,192.059998,189.320007,365000,191.369766,0.01463784193958796,62.1578478331349,2.7808379999999886,-2.2924500000000023,-1.744247999999999,-0.6932092226132307,-0.8512006512006511,0.04266915105139191,0.5623461351383636,-0.1780468645449536,-0.18644246436892062,0.5635557526533653,0.8198404318520636,1,0.014745499799436733,-0.011837363257270599,-0.009032218656073293,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
40,2019-08-27,193.08999599999999,193.58999599999999,190.889999,357900,190.63218700000002,-0.00386165521299321,61.59468317397366,-0.7375789999999824,2.043259000000006,-3.0300289999999848,-0.702575489089064,-0.8627594627594627,-0.053585401464424365,-0.020643729778277276,0.3729736784881799,-0.32236868846962474,-0.02229262748490038,0.7905786984277952,2,-0.0038542086109881247,0.010834458956148296,-0.015645948200861157,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
41,2019-08-28,190.740005,192.690002,184.71000700000002,432500,191.678741,0.005474897720737788,56.33972417017244,1.0465539999999862,0.3089750000000038,3.0898129999999924,0.5339566972353207,-0.7413105413105412,0.08299059507783113,0.27498110851215607,0.1525654104393615,0.3245898644666119,0.27338051255708695,0.5175338490693373,3,0.0054899123619663774,0.0016145444834791917,0.016383851548273248,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,2019-08-29,194.179993,195.779999,193.389999,368100,194.858276,0.016451757913670016,53.97398871250681,3.179534999999987,4.226088999999973,3.488509999999991,-0.7751742416196481,-0.8461538461538461,0.49792203785667866,0.628408887271687,0.650387170018399,0.3667380823748551,0.6209994618719494,0.3946115044434291,4,0.01658783328506935,0.022168811398045666,0.018229159563271823,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
43,2019-08-30,196.66000400000001,198.479996,196.419998,648000,197.32016000000002,0.012555082650355341,60.40808401948809,2.461884000000026,5.641419000000013,6.6879729999999995,-0.8524580009224794,-0.3904761904761904,0.8191995454400747,0.5094965299396047,0.8302599209735727,0.7049690289667842,0.49759822171341717,0.7289236432406816,5,0.012634228581597563,0.02943163634406391,0.03508312581022846,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
44,2019-09-03,197.300003,197.979996,194.720001,496100,195.017746,-0.011737027679571497,49.77179451628843,-2.3024140000000273,0.1594699999999989,3.339004999999986,-0.5714285547005861,-0.6377696377696377,0.5187329794503199,-0.27993162693966134,0.13356498253099147,0.35093317459182155,-0.27169260654793365,0.17626774943954393,2,-0.011668417459219713,0.0008183896690125643,0.017419798265473716,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
