index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,69.199997,69.199997,67.160004,1332100,66.541534,-0.02591881689402442,54.731147590461845,0.0,0.0,0.0,-0.4173249178494296,-0.3903759960159361,-0.5041175910609166,0.06968694948556586,0.11263432953644315,0.16599721480611973,-0.27211853877045883,0.046346244047130725,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,68.269997,68.650002,67.860001,1007900,67.04214499999999,0.007495127358540887,55.46238997422472,0.5006109999999921,0.0,0.0,-0.9094476556205414,-0.5921937250996014,-0.46225866583418984,0.14234601924203671,0.11263432953644315,0.16599721480611973,0.09727930101071162,0.06383016764518068,2,0.007523286132838359,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,68.07,69.139999,68.07,1126300,67.807777,0.011355441897621053,65.23755293538002,0.7656320000000107,1.266243000000003,0.0,-0.7992122442495568,-0.518488545816733,-0.3982398315712796,0.18081137323132446,0.2923366216846695,0.16599721480611973,0.13995585068211355,0.2975532205840097,3,0.011420159662254405,0.019029362923914602,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
17,2018-07-26,69.18,70.41999799999999,68.949997,723900,69.02494,0.017790995182586776,72.09876956601292,1.2171629999999993,1.98279500000001,2.4834060000000022,-0.6417311728875683,-0.7689865537848605,-0.2964659292684164,0.24634693362893603,0.39402803229337324,0.5041427631424416,0.21110217998983785,0.4616041427178599,4,0.01795019765948085,0.02957535144497555,0.037321141409213714,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,2018-07-27,70.440002,70.720001,69.889999,847100,68.897339,-0.001850332481903773,71.80146387186204,-0.12760099999999852,1.0895620000000008,1.8551940000000116,-0.8936992335237783,-0.692293326693227,-0.30713537264432134,0.05116684113797566,0.2672624608174101,0.41860415559641245,-0.006036627534805775,0.45449559682771246,5,-0.0018486216721086395,0.01606839286296026,0.0276720561372255,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2018-07-30,70.400002,71.110001,69.910004,1460000,68.740288,-0.002282094970433773,71.5928568493695,-0.1570509999999956,-0.28465199999999413,0.9325110000000052,-0.7480319393637955,-0.3107569721115536,-0.32026729756363537,0.04689244524110586,0.072237172857531,0.2929697853099573,-0.010809848240388283,0.44950782625496766,1,-0.0022794929714193405,-0.004123900723419595,0.013752272102947796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,2018-07-31,71.809998,77.139999,71.5,3565600,75.150017,0.08915088129996503,83.96373549830561,6.409728999999999,6.252678000000003,6.1250770000000045,1.0000000000000004,1.0000000000000002,0.21568650076397589,1.0,1.0,0.9999999999999999,1.0,0.7452941509285156,2,0.09324559419943074,0.09075354855141797,0.08873715790263642,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21,2018-08-01,76.489998,76.5,74.510002,1993500,73.540222,-0.021653847779328883,84.77500616576353,-1.6097950000000054,4.799933999999993,4.642882999999998,-0.43700798484095016,0.021352091633466186,0.08108240989230264,-0.16395994840245545,0.7938299151864341,0.7981814882984061,-0.22496845179498934,0.7646915418376465,3,-0.021421086305276622,0.0698270859732213,0.06738842265011132,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
22,2018-08-02,74.16999799999999,75.199997,73.690002,1891200,73.648193,0.0014671130111236735,75.15308087482481,0.10797100000000626,-1.5018239999999992,4.9079049999999995,-0.625985506695773,-0.042330677290836505,0.09011047762484381,0.08535794437116864,-0.10050107591355115,0.8342674160569721,0.030638396205381255,0.5346323844523317,4,0.001468189747917898,-0.019984346776661395,0.07139779513289207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
23,2018-08-03,74.16999799999999,76.010002,74.16999799999999,1123900,74.600342,0.012845484004617725,79.76787868225676,0.9521489999999915,1.0601199999999977,-0.5496750000000077,-0.496060729121903,-0.5199825697211155,0.16972505620122824,0.20788259562509223,0.263084119941742,0.091152362904429,0.15642856432965896,0.6449716838107677,5,0.012928341636297734,0.014415512642863625,-0.0073143696028705844,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
